公开号,申请号,标题,申请日,公开日,授权公告日,国际分类,国际主分类,美国分类,美国主分类,权利要求数,申请人,标准化申请人,发明人,第一发明人,本文引用专利数,引用本文专利数,本文自引用专利数,本文非自引用专利数,自引用本文专利数,非自引用本文专利数,法律状态,同族专利数,技术特征
"CN215050126U","CN202120948482.9","一种多元检测生物芯片杂交仪","20210506","20211207","20211207","C12M  1/00","C12M","","","6","武汉融颐生物科技有限公司","武汉融颐生物科技有限公司","贺若茜 | 王雄伟","贺若茜","0","0","0","0","0","0","有效","0","20",
"CN214931723U","CN202121325214.8","一种生物芯片放置盒","20210615","20211130","20211130","B65D 25/02 | B65D 25/10 | B65D 81/05 | B65D 25/52","B65D","","","7","武汉洁洋盛科技有限公司","武汉洁洋盛科技有限公司","刘凯波","刘凯波","0","0","0","0","0","0","有效","0","20",
"CN113702649A","CN202110979645.4","一种用于测定血液凝结时间的微流体生物芯片","20210825","20211126",,"G01N 33/86 | B01L  3/00","G01N","","","10","常州工程职业技术学院","常州工程职业技术学院","宋智谦 | 王晓东 | 乔奇伟 | 田岩 | 徐景峰 | 李英利 | 高潮 | 黄一波","宋智谦","0","0","0","0","0","0","公开","0","12",
"CN214694109U","CN202120415787.3","生物芯片反应器及生物芯片反应装置","20210225","20211112","20211112","C12M  1/00","C12M","","","10","杭州浙大迪迅生物基因工程有限公司","浙江大学","刘奕 | 陈姗姗 | 吴绍长 | 王溢飞 | 陈初含","刘奕","0","0","0","0","0","0","有效","0","12",
"CN214638616U","CN202120897402.1","一种生物芯片清洗干燥装置","20210428","20211109","20211109","B08B  3/02 | B08B 13/00 | F26B  5/08 | F26B 25/02","B08B","","","8","吉林工程技术师范学院","吉林工程技术师范学院","刘咸筠 | 孟祥龙 | 李皓 | 李占东","刘咸筠","0","0","0","0","0","0","有效","0","19",
"CN214650142U","CN202120896515.X","一种生物芯片的存储装置","20210428","20211109","20211109","B65D 25/10 | B65D 81/07 | B65D 81/26","B65D","","","8","吉林工程技术师范学院","吉林工程技术师范学院","刘咸筠 | 杨丽丽 | 孟祥龙 | 马晓茹 | 郑喻丰","刘咸筠","0","0","0","0","0","0","有效","0","23",
"CN113607714A","CN202111168369.X","分子膜成膜或表征器件、装置、方法以及生物芯片","20211008","20211105",,"G01N 21/64 | G01N 27/26 | C12M  1/34 | C12Q  1/6869","G01N","","","10","成都齐碳科技有限公司","成都齐碳科技有限公司","张喆 | 毕莹 | 张子朋","张喆","0","0","0","0","0","0","公开","0","8",
"CN214518613U","CN202023008652.X","一种生物芯片组装装置","20201215","20211029","20211029","B23P 19/00 | B25B 11/02 | B25J  5/02","B23P","","","8","昆明寰基生物芯片产业有限公司","昆明寰基生物芯片产业有限公司","马明星","马明星","0","0","0","0","0","0","有效","0","43",
"CN214452944U","CN202120406123.0","一种便于存放生物芯片的存储盒","20210224","20211022","20211022","B65D 25/02 | B65D 25/24","B65D","","","6","湖南玖康生物科技有限公司","湖南玖康生物科技有限公司","郭阔 | 李义红 | 黄坚","郭阔","0","0","0","0","0","0","有效","0","14",
"CN214458034U","CN202120266447.9","自动化生物芯片分析仪","20210131","20211022","20211022","C12M  1/38 | C12M  1/36 | C12M  1/34 | C12M  1/24 | C12M  1/12 | C12M  1/02 | C12M  1/00","C12M","","","10","新羿制造科技（北京）有限公司","新羿制造科技北京有限公司","白宇 | 杜晓纯 | 刘金伟 | 韩应敏 | 刘晓彬 | 夏雷 | 杨文军","白宇","0","0","0","0","0","0","有效","0","15",
