公开号,申请号,标题,申请日,公开日,授权公告日,国际分类,国际主分类,美国分类,美国主分类,权利要求数,申请人,标准化申请人,发明人,第一发明人,本文引用专利数,引用本文专利数,本文自引用专利数,本文非自引用专利数,自引用本文专利数,非自引用本文专利数,法律状态,同族专利数,技术特征
"CN114285873A","CN202111513510.5","建立通信连接的方法、装置、设备以及存储介质","20211209","20220405",,"H04L 67/12 | H04W  4/40 | H04W 76/10","H04L","","","16","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","黄启立","黄启立","0","0","0","0","0","0","公开","0","10",
"CN114261338A","CN202111495169.5","车辆检测方法、装置和自动驾驶车辆","20211208","20220401",,"B60Q  9/00 | B60R 16/023 | G08B 25/10","B60Q","","","18","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","毛冠钰","毛冠钰","0","0","0","0","0","0","公开","0","14",
"CN114264312A","CN202111447650.7","自动驾驶车辆的路径规划方法、装置和自动驾驶车辆","20211130","20220401",,"G01C 21/34","G01C","","","18","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（成都）有限公司","百度在线网络技术 | 阿波罗智行信息科技成都有限公司","于宁 | 孟琳 | 彭铭杏 | 赵世杰 | 潘安 | 王星宇","于宁","0","0","0","0","0","0","公开","0","15",
"CN114253984A","CN202111494671.4","信息更新方法、装置、电子设备和存储介质","20211207","20220329",,"G06F 16/23 | G06F 16/958","G06F","","","19","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","陆明亮","陆明亮","0","0","0","0","0","0","公开","0","13",
"CN114237827A","CN202111574344.X","资源配置方法、装置、电子设备及存储介质","20211221","20220325",,"G06F  9/455","G06F","","","15","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（南京）有限公司","百度在线网络技术 | 阿波罗智行信息科技南京有限公司","饶文龙 | 王明帅 | 刘颖楠 | 薛晶晶","饶文龙","0","0","0","0","0","0","公开","0","11",
"CN114238794A","CN202111566808.2","常驻点识别方法及装置、电子设备和介质","20211220","20220325",,"G06F 16/9537 | G06K  9/62","G06F","","","13","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（南京）有限公司","百度在线网络技术 | 阿波罗智行信息科技南京有限公司","慎东辉","慎东辉","0","0","0","0","0","0","公开","0","10",
"CN114238793A","CN202111564976.8","轨迹点数据挖掘方法及装置、电子设备和介质","20211220","20220325",,"G06F 16/9537 | G06F 16/9535","G06F","","","16","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（南京）有限公司","百度在线网络技术 | 阿波罗智行信息科技南京有限公司","慎东辉","慎东辉","0","0","0","0","0","0","公开","0","12",
"CN114238792A","CN202111564803.6","用于轨迹点数据挖掘的方法及装置、电子设备和介质","20211220","20220325",,"G06F 16/9537 | G06F 16/9535","G06F","","","13","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（南京）有限公司","百度在线网络技术 | 阿波罗智行信息科技南京有限公司","慎东辉","慎东辉","0","0","0","0","0","0","公开","0","11",
"CN114244741A","CN202111544905.1","一种链路测试方法、装置、系统、电子设备及存储介质","20211216","20220325",,"H04L 43/0805 | H04L 41/069 | H04W 24/08 | G08G  1/01","H04L","","","24","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（南京）有限公司","百度在线网络技术 | 阿波罗智行信息科技南京有限公司","迟源","迟源","0","0","0","0","0","0","公开","0","11",
"CN114237479A","CN202111495170.8","一种应用程序的控制方法、装置及电子设备","20211208","20220325",,"G06F  3/0488 | G06F  9/451","G06F","","","15","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","黄启立","黄启立","0","0","0","0","0","0","公开","0","10",
"CN114237444A","CN202111452369.2","应用程序的启动方法、装置、电子设备及存储介质","20211130","20220325",,"G06F  3/04817 | G06F  3/0488 | G06F  9/445 | G06F  9/451","G06F","","","10","阿波罗智联（北京）科技有限公司 | 阿波罗智行科技（广州）有限公司","百度在线网络技术 | 阿波罗智行科技广州有限公司","邓苏南 | 祝博 | 刘云峰","邓苏南","0","0","0","0","0","0","公开","0","16",
"CN114221960A","CN202111528649.7","基于自动驾驶公交车的数据推送方法和自动驾驶公交车","20211214","20220322",,"H04L 67/10 | H04L 67/12 | H04L 67/52 | H04L 67/55","H04L","","","18","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（南京）有限公司","百度在线网络技术 | 阿波罗智行信息科技南京有限公司","秦圣林 | 张亚玲","秦圣林","0","0","0","0","0","0","公开","0","17",
"CN114201225A","CN202111529881.2","一种车机功能唤醒的方法及装置","20211214","20220318",,"G06F  9/4401 | G06F  3/01","G06F","","","14","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（南京）有限公司","百度在线网络技术 | 阿波罗智行信息科技南京有限公司","王雪君","王雪君","0","0","0","0","0","0","公开","0","11",
"CN114201132A","CN202111528232.0","一种车机系统双屏显示方法及装置","20211214","20220318",,"G06F  3/14 | G06F  3/147","G06F","","","13","阿波罗智联（北京）科技有限公司 | 阿波罗智行信息科技（南京）有限公司","百度在线网络技术 | 阿波罗智行信息科技南京有限公司","杨可","杨可","0","0","0","0","0","0","公开","0","13",
