,权利要求数--item,histogram
0,0,15
1,1,110
2,2,127
3,3,259
4,4,392
5,5,642
6,6,759
7,7,602
8,8,554
9,9,539
10,10,2479
11,11,167
12,12,156
13,13,105
14,14,104
15,15,144
16,16,77
17,17,53
18,18,49
19,19,34
20,20,194
21,21,35
22,22,26
23,23,17
24,24,20
25,25,21
26,26,13
27,27,10
28,28,18
29,29,7
30,30,13
31,31,4
32,32,4
33,33,4
34,34,3
35,35,6
36,36,4
37,37,3
38,38,3
39,39,1
40,40,2
41,41,2
42,42,3
43,43,1
44,45,1
45,46,2
46,47,2
47,48,1
48,50,1
49,54,3
50,58,2
51,59,1
52,60,1
53,69,1
54,83,1
55,87,1
56,88,1
57,90,1
58,94,1
59,97,1
60,99,1
61,157,1
62,177,1
