,标准化申请人--ann1,histogram
1638,歌尔声学股份有限公司,194
505,北京小鸟看看科技有限公司,154
339,京东方,134
2039,深圳市虚拟现实科技有限公司,124
318,乐视网信息技术北京股份有限公司,121
1917,深圳多哚新技术有限责任公司,92
888,国家电网有限公司,81
1985,深圳市掌网科技股份有限公司,72
2038,深圳市虚拟现实技术有限公司,72
2520,谷歌公司,67
140,上海盟云移软网络科技股份有限公司,58
445,创维电子有限公司,58
2337,网易,58
2377,腾讯科技,53
31,三星电子株式会社,46
248,中国南方电网有限责任公司,41
1067,小米科技有限责任公司,39
1882,海信集团公司,38
552,北京爱奇艺科技有限公司,35
2622,重庆梦神科技有限公司,35
2692,阿里巴巴公司,35
274,中国科学院,34
2597,酷派软件技术深圳有限公司,34
14,tcl集团股份有限公司,32
596,北京诺亦腾科技有限公司,30
1590,林肯环球公司,30
625,华为技术有限公司,28
1156,广东小天才科技有限公司,28
636,华南理工大学,27
1337,微美光速资本投资管理北京有限公司,27
558,北京理工大学,26
208,中兴通讯股份有限公司,25
600,北京超多维科技有限公司,24
937,天津大学,24
1838,浙江凡聚科技有限公司,24
2333,维沃移动通信有限公司,24
2375,脸谱公司,23
689,南京美卡数字科技有限公司,22
913,大连文森特软件科技有限公司,22
1388,成都理想境界科技有限公司,22
1848,浙江大学,22
42,上海乐相科技有限公司,21
2109,清华大学,21
1637,歌尔光学科技有限公司,20
2319,索尼公司,20
1232,广州幻境科技有限公司,18
1338,微软公司,18
1946,深圳市冠旭电子股份有限公司,18
868,四川数字工匠科技有限公司,17
2056,深圳市金立通信设备有限公司,17
43,上海乐蜗信息科技有限公司,16
104,上海曼恒数字技术有限公司,16
178,东北大学,16
491,北京国承万通信息科技有限公司,16
847,嘉兴玄视信息科技有限公司,16
862,四川大学,16
2084,深圳游视虚拟现实技术有限公司,16
2358,联发科技股份有限公司,16
492,北京圣威特科技有限公司,15
969,奇跃公司,15
986,威福光学有限公司,15
1559,杭州映墨科技有限公司,15
2013,深圳市瑞立视多媒体科技有限公司,15
2790,黄山学院,15
45,上海交通大学,14
582,北京航空航天大学,14
1066,小派科技上海有限责任公司,14
1390,成都电锯互动科技有限公司,14
95,上海拆名晃信息科技有限公司,13
109,上海松鼠课堂人工智能科技有限公司,13
309,丰唐物联技术深圳有限公司,13
788,同济大学,13
2439,英特尔,13
2516,诺基亚,13
68,上海圆津电子科技有限公司,12
356,何书傲,12
1031,安徽协创物联网技术有限公司,12
1710,江苏嘉纳宝医疗科技有限公司,12
2025,深圳市维尔信息科技有限公司,12
2652,铜仁职业技术学院,12
2760,首都师范大学,12
2784,鸿海精密工业股份有限公司,12
283,中国航空工业集团有限公司,11
285,中国船舶集团有限公司,11
292,中山大学,11
695,南京轩世琪源软件科技有限公司,11
1854,浙江广厦建设职业技术学院,11
2116,温州大学,11
2234,珠海市魅族科技有限公司,11
2577,郑州巍瀚信息科技有限公司,11
72,上海大学,10
1142,平越,10
1199,广州史帝奇游艺设备有限公司,10
1339,德国大众集团,10
1416,捷开通讯,10
1429,新疆微视创益信息科技有限公司,10
1468,未序网络科技上海有限公司,10
1936,深圳市亿境虚拟现实技术有限公司,10
2173,焦作大学,10
2283,福州大学,10
2293,福建天晴数码有限公司,10
2359,联想集团有限公司,10
2576,郑州大学,10
39,上海与德通讯技术有限公司,9
100,上海旗娱网络科技有限公司,9
183,东南大学,9
219,中国人民武装警察8630部队医院,9
281,中国航天科工集团有限公司,9
537,北京暴风魔镜科技有限公司,9
682,南京理工大学,9
725,南阳理工学院,9
909,大连交通大学,9
914,大连楼兰科技股份有限公司,9
1055,宏达国际股份有限公司,9
1162,广东欧珀电子工业有限公司,9
1198,广州口可口可软件科技有限公司,9
1240,广州新起典数码科技有限公司,9
1246,广州玖的数码科技有限公司,9
1352,惠普公司,9
1462,暨南大学,9
1650,武汉大学,9
1925,深圳小海洋视觉科技有限公司,9
1928,深圳市中幼国际教育科技有限公司,9
2301,福建网龙计算机网络信息技术有限公司,9
2495,西安电子科技大学,9
189,东莞市伊美特智能科技有限公司,8
233,中国人民解放军第四军医大学,8
272,中国矿业大学,8
275,中国移动通信集团有限公司,8
286,中国计量大学,8
478,北京凌宇智控科技有限公司,8
