公开号,申请号,标题,申请日,公开日,授权公告日,国际分类,国际主分类,美国分类,美国主分类,权利要求数,申请人,标准化申请人,发明人,第一发明人,本文引用专利数,引用本文专利数,本文自引用专利数,本文非自引用专利数,自引用本文专利数,非自引用本文专利数,法律状态,同族专利数,技术特征
"CN114399933A","CN202210016632.1","一种基于虚拟现实的重睑成形手术训练系统、方法及存储介质","20220107","20220426",,"G09B  9/00 | G06T 19/00","G09B","","","10","广州雅妍时光医疗美容门诊部有限公司","广州雅妍时光医疗美容门诊部有限公司","孙恺 | 张福生","孙恺","0","0","0","0","0","0","公开","0","37",
"CN216391212U","CN202123402459.9","一种基于虚拟现实的全景摄像装置","20211230","20220426","20220426","H04N  5/225 | H04N  5/232 | F16M 11/04 | G03B 17/08","H04N","","","8","郑州科技学院","郑州科技学院","梁飞 | 屈海朋 | 牛庆丽 | 罗雪 | 张懋楠","梁飞","0","0","0","0","0","0","有效","0","17",
"CN216387589U","CN202123202820.3","一种虚拟现实设备","20211220","20220426","20220426","G02B 27/01 | H04R  1/10","G02B","","","6","江苏易佰数字科技有限公司","江苏易佰数字科技有限公司","张长丰","张长丰","0","0","0","0","0","0","有效","0","11",
"CN216388432U","CN202122580880.2","一种用于铁路职工培训的铁路火车调度虚拟现实设备","20211026","20220426","20220426","G09B  9/04","G09B","","","6","张成敏 | 巩磊 | 王京伟 | 陈同乐","张成敏 | 巩磊 | 王京伟 | 陈同乐","张成敏 | 巩磊 | 王京伟 | 陈同乐","张成敏","0","0","0","0","0","0","有效","0","22",
"CN114399613A","CN202111450040.2","一种基于虚拟现实的实验教学仿真方法及系统","20211130","20220426",,"G06T 19/00 | G06T 13/20 | G09B  5/02 | G09B  9/00","G06T","","","9","西安交通大学","西安交通大学","符均 | 蒋天舒 | 刘升涛 | 潘鸿程 | 熊子驭 | 李虹霖 | 黄洲 | 苗碧璇","符均","0","0","0","0","0","0","公开","0","26",
"CN114402248A","CN201980100026.4","用于神经冥想和神经专注训练的虚拟现实交互系统","20190905","20220426",,"G02B 27/01 | A61N  1/00","G02B","","","21","神经进程公司","神经进程公司","I·O·洛博达 | K·Y·古尔布诺夫","I·O·洛博达","0","0","0","0","0","0","公开","0","17",
"CN114384702A","CN202210097742.5","一种虚拟现实光学系统","20220127","20220422",,"G02B 27/01","G02B","","","7","上海鱼微阿科技有限公司","上海鱼微阿科技有限公司","吴仁安","吴仁安","0","0","0","0","0","0","公开","0","12",
"CN114387402A","CN202210056993.9","虚拟现实场景显示方法及装置、电子设备、可读存储介质","20220118","20220422",,"G06T 17/00 | G06T 15/00","G06T","","","10","北京有竹居网络技术有限公司","字节跳动有限公司","董杨","董杨","0","0","0","0","0","0","公开","0","17",
"CN114377377A","CN202210039318.5","虚拟现实的射击操控平台及其实现方法","20220113","20220422",,"A63F 13/219 | A63F 13/837","A63F","","","10","北京乐客灵境科技有限公司 | 广州市乐工电子实业有限责任公司","北京乐客灵境科技有限公司 | 广州市乐工电子实业有限责任公司","余飞飞 | 邵卫","余飞飞","0","0","0","0","0","0","公开","0","17",
"CN216358414U","CN202123443360.3","一种可调节的虚拟现实座椅","20211231","20220422","20220422","A47C  1/00 | A47C  7/00 | A47C  3/24","A47C","","","6","新疆微视创益信息科技有限公司","新疆微视创益信息科技有限公司","张小梅","张小梅","0","0","0","0","0","0","有效","0","19",
"CN216362022U","CN202123024609.7","一种基于BIM的虚拟现实展示装置","20211206","20220422","20220422","G09F  9/30 | F16M 11/08","G09F","","","6","广西电力职业技术学院","广西电力职业技术学院","苏菊","苏菊","0","0","0","0","0","0","有效","0","15",
"CN114390268A","CN202111661925.7","基于Rhino与Enscape的虚拟现实全景视频制作方法","20211231","20220422",,"H04N 13/204 | H04N 13/275 | H04N 13/296","H04N","","","8","中南建筑设计院股份有限公司","中南建筑设计院","朱卓晖","朱卓晖","0","0","0","0","0","0","公开","0","47",
"CN114373356A","CN202210050483.0","基于虚拟现实的自适应式应激训练方法及系统","20220117","20220419",,"G09B  9/00","G09B","","","10","中国人民解放军军事科学院军事医学研究院","中国人民解放军军事科学院","陈品红 | 周瑾 | 王常勇","陈品红","0","0","0","0","0","0","公开","0","16",
"CN114366155A","CN202210049589.9","接入虚拟现实的睡眠式探测仓","20220117","20220419",,"A61B  8/00 | A61B  5/00 | A61H  7/00 | A61H  9/00 | A61N  1/36","A61B","","","10","深圳市柴农绿色科技有限公司","深圳市柴农绿色科技有限公司","何媛媛 | 王亚雷","何媛媛","0","0","0","0","0","0","公开","0","29",
"CN216345015U","CN202123113637.6","一种舞台场景虚拟现实直播三维摄像机移动调节装置","20211213","20220419","20220419","F16M 11/04 | F16M 11/08 | F16M 11/16 | F16M 11/18 | F16M 11/42 | F16M  7/00","F16M","","","5","山东今视文化传媒有限公司","山东今视文化传媒有限公司","李波 | 吕红玲 | 张帅 | 王伟 | 汪恒","李波","0","0","0","0","0","0","有效","0","27",
"CN216352205U","CN202123069179.0","一种虚拟现实VR传感器","20211208","20220419","20220419","G06F  3/01","G06F","","","6","杭州酷嗒文化发展有限公司","杭州酷嗒文化发展有限公司","寇祺","寇祺","0","0","0","0","0","0","有效","0","9",
"CN216352822U","CN202123063907.7","一种预防摔落的虚拟现实训练头盔","20211208","20220419","20220419","G09B  5/02 | G02B 27/01","G09B","","","6","北京航天创鑫科技发展有限公司","北京航天创鑫科技发展有限公司","丑金溟 | 单毅 | 李威","丑金溟","0","0","0","0","0","0","有效","0","15",
"CN216351561U","CN202123021098.3","一种沉浸式虚拟现实系统显示装置","20211204","20220419","20220419","G02B 27/01","G02B","","","6","北京鼎视盛兴科技有限公司","北京鼎视盛兴科技有限公司","康新明 | 王国栋 | 康新东 | 王换玲 | 康新林 | 李明浩 | 康建辉 | 朱会平 | 高新维","康新明","0","0","0","0","0","0","有效","0","15",
