,国际分类--ipc4,histogram
0,A41D,2
1,A42B,16
2,A43B,1
3,A45C,1
4,A47B,2
5,A47C,1
6,A47D,2
7,A47F,10
8,A47G,2
9,A61B,124
10,A61C,6
11,A61F,6
12,A61G,1
13,A61H,7
14,A61K,1
15,A61M,3
16,A61N,2
17,A63B,26
18,A63F,68
19,A63G,6
20,A63H,5
21,A63J,2
22,A99Z,1
23,B01D,1
24,B01L,1
25,B05C,2
26,B07C,1
27,B08B,1
28,B21J,1
29,B23C,1
30,B23K,1
31,B23P,1
32,B25B,4
33,B25J,35
34,B42D,3
35,B60K,9
36,B60R,32
37,B60W,11
38,B64C,3
39,B64D,1
40,B64G,1
41,B65D,2
42,B65F,1
43,B66C,5
44,C08L,1
45,C09K,1
46,C12N,1
47,E02F,1
48,E03B,1
49,E04F,1
50,E04H,1
51,E21B,1
52,F16B,2
53,F16M,12
54,F17D,2
55,F21S,2
56,F21V,2
57,F24F,2
58,F41A,1
59,F41B,1
60,F41G,1
61,F41J,1
62,G01B,10
63,G01C,72
64,G01D,2
65,G01H,2
66,G01J,2
67,G01K,1
68,G01M,6
69,G01N,3
70,G01P,1
71,G01R,7
72,G01S,19
73,G01T,1
74,G01V,7
75,G02B,975
76,G02C,19
77,G02F,6
78,G03B,19
79,G03H,8
80,G05B,36
81,G05D,14
82,G06F,899
83,G06K,169
84,G06N,2
85,G06Q,156
86,G06T,799
87,G06V,7
88,G07C,20
89,G07F,10
90,G08B,6
91,G08C,1
92,G08G,19
93,G09B,200
94,G09C,1
95,G09F,25
96,G09G,20
97,G10G,1
98,G10L,12
99,G16H,32
100,H01L,5
101,H02B,1
102,H02G,1
103,H02J,1
104,H03F,1
105,H04B,7
106,H04J,1
107,H04L,70
108,H04M,19
109,H04N,284
110,H04R,8
111,H04S,6
112,H04W,37
113,H05B,1
114,H05K,6
