,权利要求数--item,histogram
0,0,11
1,1,53
2,2,48
3,3,114
4,4,161
5,5,202
6,6,267
7,7,260
8,8,263
9,9,228
10,10,1355
11,11,126
12,12,130
13,13,100
14,14,96
15,15,185
16,16,67
17,17,50
18,18,52
19,19,56
20,20,259
21,21,46
22,22,37
23,23,27
24,24,28
25,25,32
26,26,9
27,27,17
28,28,13
29,29,14
30,30,23
31,31,6
32,32,11
33,33,7
34,34,14
35,35,8
36,36,10
37,37,4
38,38,9
39,39,5
40,40,4
41,41,5
42,42,5
43,43,3
44,44,1
45,45,2
46,46,1
47,47,1
48,48,4
49,49,2
50,50,2
51,51,2
52,52,3
53,56,3
54,57,1
55,58,1
56,59,2
57,61,3
58,62,1
59,63,1
60,64,3
61,67,1
62,69,2
63,70,1
64,71,2
65,72,1
66,73,1
67,79,1
68,83,1
69,89,2
70,90,1
71,99,1
72,101,1
73,102,1
74,106,1
75,112,1
76,113,1
77,117,1
78,118,1
79,120,3
80,130,1
81,143,2
82,161,1
83,236,1
84,875,1
