,标准化申请人--ann1,histogram
0,2mee有限公司,4
1,30 60 90公司,1
2,3d系统公司,1
3,LG电子株式会社,2
4,X开发有限责任公司,1
5,adlens有限公司,1
6,b·布莱恩·阿维图姆股份公司,1
7,ds全球,1
8,dts公司,1
9,e-视觉智能光学公司,1
10,f·巴瓦斯特罗,1
11,line株式会社,1
12,m·d·富克斯,1
13,nds公司nds ltd.,1
14,pcms控股公司,8
15,p·k·朗,2
16,rhaon娱乐株式会社,1
17,r·图利,1
18,sk电信有限公司,4
19,s·希特曼,1
20,s·拉德,1
21,tcl集团股份有限公司,7
22,一派视觉北京数字科技有限公司,1
23,丁柯夫,2
24,万象三维视觉科技北京有限公司,2
25,三亚苑鼎演艺有限公司,1
26,三六零安全科技股份有限公司,2
27,三峡大学,1
28,三星sdi株式会社,2
29,三星电子株式会社,61
30,三河市广义科技有限公司,3
31,三河市鼎科远图科技有限公司,1
32,三生万物北京人工智能技术有限公司,1
33,三门峡速达交通节能科技股份有限公司,1
34,上海乂学教育科技有限公司,3
35,上海乐蜗信息科技有限公司,1
36,上海九想数字科技有限公司,1
37,上海乾庾智能科技有限公司,1
38,上海云剑信息技术有限公司,1
39,上海云扩信息科技有限公司,1
40,上海云铸三维科技有限公司,1
41,上海交大智邦科技有限公司,1
42,上海交通大学,13
43,上海今尚数码科技有限公司,1
44,上海兰韵多媒体科技有限公司,1
45,上海凝丰实业有限公司,1
46,上海凯泉泵业集团有限公司,4
47,上海初云开锐管理咨询有限公司,3
48,上海北冕信息科技有限公司,4
49,上海华勤通讯技术有限公司,2
50,上海博路信息技术有限公司,2
51,上海历影数字科技有限公司,1
52,上海友福文化艺术有限公司,1
53,上海合昊机电科技有限公司,2
54,上海哔哩哔哩科技有限公司,2
55,上海唱风信息科技有限公司,2
56,上海基美文化传媒股份有限公司,2
57,上海复拓知达医疗科技有限公司,4
58,上海大学,11
59,上海大恒光学精密机械有限公司,2
60,上海奥孛睿斯科技有限公司,1
61,上海导伦达信息科技有限公司,1
62,上海小持智能科技有限公司,1
63,上海尚镜信息科技有限公司,2
64,上海尤卡城信息科技有限责任公司,2
65,上海峥航智能科技发展有限公司,2
66,上海巡智科技有限公司,1
67,上海工程技术大学,2
68,上海巨哥科技股份有限公司,1
69,上海巽晔计算机科技有限公司,1
70,上海市第五人民医院,2
71,上海市精神卫生中心,2
72,上海幻维数码创意科技有限公司,1
73,上海广传文化传媒有限公司,1
74,上海影创信息科技有限公司,10
75,上海徕尼智能科技有限公司,2
76,上海微创卜算子医疗科技有限公司,1
77,上海德衡数据科技有限公司,1
78,上海念通智能科技有限公司,1
79,上海思必诚信息科技发展有限公司,1
80,上海悦会信息科技有限公司,1
81,上海慕知文化传媒有限公司,1
82,上海扩博智能技术有限公司,5
83,上海掌门科技有限公司,2
84,上海斐讯数据通信技术有限公司,3
85,上海新镜科技有限公司,1
86,上海旗娱网络科技有限公司,1
87,上海时光科技股份有限公司,8
88,上海易武数码科技有限公司,1
89,上海显耀显示科技有限公司,2
90,上海晨鱼网络科技有限公司,1
91,上海智能网联汽车技术中心有限公司,2
92,上海格虏博运动科技有限公司,1
93,上海橙夏科技有限公司,1
94,上海橙旺智能科技有限公司,1
95,上海水晶石信息技术有限公司,4
96,上海永微信息科技有限公司,2
97,上海永畅信息科技有限公司,1
98,上海汽车集团股份有限公司,8
99,上海深至信息科技有限公司,2
100,上海渺视光学科技有限公司,8
101,上海瀚沧科技有限公司,1
102,上海爱乐慕健康科技有限公司,1
103,上海玄彩美科网络科技有限公司,2
104,上海理湃光晶技术有限公司,2
105,上海理鑫光学科技有限公司,17
106,上海璟世数字科技有限公司,2
107,上海申通地铁集团有限公司,1
108,上海电机学院,2
109,上海电机系统节能工程技术研究中心有限公司,1
110,上海电气集团股份有限公司,2
111,上海白泽网络科技有限公司,2
112,上海盛付通电子商务有限公司,1
113,上海盟云移软网络科技股份有限公司,6
114,上海盼研机器人科技有限公司,2
115,上海积杉信息科技有限公司,1
116,上海纷趣网络科技有限公司,1
117,上海纽盾科技股份有限公司,2
118,上海维智卓新信息科技有限公司,1
119,上海网宿科技股份有限公司,1
120,上海美迪索科电子科技有限公司,1
121,上海翊视皓瞳信息科技有限公司,1
122,上海肇观电子科技有限公司,2
123,上海萃钛智能科技有限公司,4
124,上海蔚来汽车有限公司,4
125,上海视欧光电科技有限公司,3
126,上海诠视传感技术有限公司,1
127,上海诺司纬光电仪器有限公司,1
128,上海趣立信息科技有限公司,1
129,上海量明科技发展有限公司,2
130,上海金陵电子网络股份有限公司,1
131,上海闻泰信息技术有限公司,1
132,上海闻泰电子科技有限公司,1
133,上海青研科技有限公司,2
134,上海馨孚科技有限公司,1
135,上海驾馥电子科技有限公司,2
136,上海骥睿信息科技有限公司,2
137,上海鱼微阿科技有限公司,1
138,上海鲲游光电科技有限公司,5
139,上海鲲游科技有限公司,1
140,上海鸿臣互动传媒有限公司,2
141,上海鹰觉科技有限公司,1
142,上海齐网网络科技有限公司,2
143,世雅设计有限公司,1
144,业成科技成都有限公司,2
145,东北大学,8
146,东北师大理想软件股份有限公司,1
147,东华大学,2
148,东南大学,14
149,东方梦幻虚拟现实科技有限公司,1
150,东莞伟信电子有限公司,1
151,东莞市一加数字创意有限公司,1
152,东莞市易联交互信息科技有限责任公司,1
153,东莞新吉凯氏测量技术有限公司,1
154,东莞润如智能科技有限公司,1
155,东风汽车集团有限公司,1
156,中共中央办公厅电子科技学院,1
157,中兴通讯股份有限公司,27
158,中创天下成都科技有限公司,1
159,中北大学,1
160,中国中车集团有限公司,2
161,中国五矿集团有限公司,1
162,中国交通建设集团有限公司,3
163,中国人民武装警察部队海警学院,2
164,中国人民解放军32181部队,3
165,中国人民解放军63919部队,1
166,中国人民解放军78092部队,2
167,中国人民解放军92601部队,5
168,中国人民解放军信息工程大学,1
169,中国人民解放军军事医学科学院,1
170,中国人民解放军军事科学院,16
171,中国人民解放军总医院,1
172,中国人民解放军总装备部军械技术研究所,2
173,中国人民解放军战略支援部队信息工程大学,2
174,中国人民解放军空军工程大学,1
175,中国人民解放军空军特色医学中心,1
176,中国人民解放军第三军医大学,3
177,中国人民解放军陆军装甲兵学院,1
178,中国传媒大学,2
179,中国兵器工业集团有限公司,1
180,中国兵器装备集团有限公司,1
181,中国农业大学,5
182,中国医学科学院,2
183,中国华能集团有限公司,1
184,中国南方电网有限责任公司,20
185,中国商用飞机有限责任公司,2
186,中国园林博物馆北京筹备办公室,2
187,中国地质大学,3
188,中国大唐集团有限公司,2
189,中国工商银行,1
190,中国工程物理研究院,1
191,中国平安保险集团股份有限公司,5
192,中国建筑集团有限公司,4
193,中国建设银行股份有限公司,1
194,中国核工业集团有限公司,1
195,中国民用航空飞行学院,1
196,中国海洋大学,4
197,中国电信集团有限公司,3
198,中国电子信息产业集团有限公司,2
199,中国电子科技集团有限公司,17
200,中国石油化工集团有限公司,3
201,中国石油大学,1
202,中国科学院,45
203,中国移动通信集团有限公司,5
204,中国联合网络通信集团有限公司,2
205,中国航天科工集团有限公司,12
206,中国航天科技集团有限公司,10
207,中国航空工业集团有限公司,9
208,中国航空集团有限公司,1
209,中国船舶集团有限公司,5
210,中国计量大学,1
211,中国铁路总公司,2
212,中国铁路通信信号集团有限公司,1
213,中国铁道科学研究院,1
214,中国铝业集团有限公司,1
215,中国银联股份有限公司,1
216,中国银行,1
217,中山大学,8
218,中山市众盈光学有限公司,2
219,中山市合展电子有限公司,1
220,中德珠海人工智能研究院有限公司,2
221,中心线生物医药股份有限公司,1
222,中水北方勘测设计研究有限责任公司,1
223,中电建冀交高速公路投资发展有限公司,1
224,中相海南信息科技有限公司,1
225,中筑科技股份有限公司,1
226,中联通服北京通讯技术有限公司,1
227,丰唐物联技术深圳有限公司,2
228,丰盛数位有限公司,1
229,丹尼尔·格瑞贝格,1
230,丹纳赫公司,2
231,丽水学院,1
232,义乌市蜂眼智能科技有限公司,1
233,之江实验室,2
234,乐威指南公司,1
235,乐金显示有限公司,4
236,乐高公司,2
237,于斌,1
238,云南师范大学,1
239,云景文旅科技有限公司,1
240,云游公司,1
241,云诊断特拉华州股份有限公司,1
242,五八有限公司,1
243,五邑大学,1
244,亚利桑那大学,3
245,亚马逊科技公司,1
246,交互数字技术公司,1
247,交通部天津水运工程科学研究所,1
248,交通部科学研究院,1
249,京东方,44
250,亮风台上海信息科技有限公司,13
251,以见科技上海有限公司,2
252,仲佳,1
253,伊利诺工具公司,2
254,伊奎蒂公司,1
255,伊姆兰·哈迪斯,1
256,伊梅森公司,6
257,伊莱克斯公司,1
258,伊顿公司,3
259,众安信息技术服务有限公司,1
260,众景视界北京科技有限公司,4
261,优奈柯恩北京科技有限公司,15
262,优特诺股份有限公司,1
263,优视科技有限公司,1
264,伦敦帝国学院,1
265,伺服创立自动化解决方案有限公司,1
266,何子金,1
267,何学谦,2
268,何磊,1
269,何长伟,1
270,佛山市威格特电气设备有限公司,4
271,佛山市小云科技有限公司,1
272,佛山市幻云科技有限公司,1
273,佛山市超体软件科技有限公司,1
274,佛山电视台南海分台,1
275,佛山科学技术学院,3
276,佳木斯大学,1
277,佳殿玻璃有限公司,1
278,依视路国际集团,10
279,俞正义,1
280,先科媒体有限公司,1
281,光宝科技股份有限公司,2
282,光感上海科技有限公司,1
283,光锐恒宇北京科技有限公司,3
284,全球能源互联网研究院,2
285,兰州交通大学,1
286,内蒙古工业大学,1
287,内蒙古自由极客数字科技有限公司,1
288,冠捷科技,1
289,况扬,1
290,凯菲森有限公司,1
291,刘丹,2
292,刘学波,2
293,刘旻,1
294,刘春煦,1
295,刘春燕,1
296,刘智勇,1
297,刘洋,1
298,刘涣,1
299,刘涵,2
300,刘瑞雪,1
301,刘翠先,1
302,刘进,2
303,刘阳,1
304,创维电子有限公司,17
305,初速度苏州科技有限公司,2
306,到达有限公司,1
307,动态ad有限责任公司,1
308,包头轻工职业技术学院,1
309,北京七鑫易维信息技术有限公司,1
310,北京万特福医疗器械有限公司,1
311,北京三快在线科技有限公司,3
312,北京东方核芯力信息科技有限公司,1
313,北京中大科慧科技发展有限公司,1
314,北京中星微电子有限公司,1
315,北京中科卓研科技有限公司,1
316,北京中科视维文化科技有限公司,1
317,北京为准智能科技有限公司,1
318,北京乐动卓越科技有限公司,1
319,北京乐驾科技有限公司,1
320,北京云创启航智能科技有限公司,1
321,北京五八信息技术有限公司,5
322,北京五指术健康科技有限公司,1
323,北京交通大学,1
324,北京享云智汇科技有限公司,1
325,北京京东世纪贸易有限公司,6
326,北京亮亮视野科技有限公司,4
327,北京众绘虚拟现实技术研究院有限公司,1
328,北京佳珥医学科技有限公司,4
329,北京佳讯飞鸿电气股份有限公司,1
330,北京信息科技大学,3
331,北京光年无限科技有限公司,1
332,北京全息微美云网络科技有限公司,1
333,北京农业信息技术研究中心,1
334,北京北方卓立科技有限公司,1
335,北京华如科技股份有限公司,1
336,北京华易明新科技有限公司,1
337,北京华锐视界科技有限公司,1
338,北京原力创新科技有限公司,1
339,北京善学云科技有限公司,1
340,北京国润健康医学投资有限公司,3
341,北京图盟科技有限公司,1
342,北京圣威特科技有限公司,2
343,北京城市网邻信息技术有限公司,1
344,北京大合创新科技发展有限公司,2
345,北京大学,3
346,北京天元创新科技有限公司,1
347,北京天朗宇海科技有限责任公司,1
348,北京奇境天成网络技术有限公司,1
349,北京威亚视讯科技有限公司,1
350,北京富龙飞科技有限公司,3
351,北京小狗智能机器人技术有限公司,1
352,北京小鸟看看科技有限公司,2
353,北京市医疗器械检验所,1
354,北京市燃气集团有限责任公司,6
355,北京微美云息软件有限公司,1
356,北京德火科技有限责任公司,4
357,北京心有灵犀科技有限公司,1
358,北京悉见科技有限公司,9
359,北京戈德思科科技有限公司,2
360,北京捷安申谋军工科技有限公司,1
361,北京方瑞博石数字技术有限公司,1
362,北京旷视科技有限公司,1
363,北京易讯理想科技有限公司,11
364,北京智城联合科技发展有限公司,1
365,北京暴风科技股份有限公司,3
366,北京暴风魔镜科技有限公司,1
367,北京枭龙科技有限公司,7
368,北京枭龙防务科技有限公司,1
369,北京格如灵科技有限公司,1
370,北京正在关怀科技有限公司,1
371,北京正远展览展示有限公司,1
372,北京每日优鲜电子商务有限公司,1
373,北京汽车集团有限公司,1
374,北京沃富瑞德文化传播有限公司,1
375,北京泰铭万达科技有限公司,1
376,北京派希教育科技有限公司,1
377,北京海兰信数据记录科技有限公司,1
378,北京淳中科技发展有限责任公司,1
379,北京灵犀微光科技有限公司,19
380,北京爱其科技有限公司,1
381,北京爱博同心医学科技有限公司,8
382,北京爱奇艺科技有限公司,3
383,北京牡丹电子集团公司,1
384,北京猫眼视觉科技有限公司,1
385,北京理工大学,31
386,北京疯狂互动网络科技有限公司,1
387,北京盈拓文化传媒有限公司,1
388,北京知境科技有限公司,3
389,北京神秘谷数字科技有限公司,1
390,北京科技大学,1
391,北京经纬恒润科技有限公司,1
392,北京维卓致远医疗科技发展有限责任公司,1
393,北京绵白糖智能科技有限公司,5
394,北京缙铖智联高科技有限公司,1
395,北京耐德佳显示技术有限公司,2
396,北京联合大学,1
397,北京至格科技有限公司,5
398,北京航天创智科技有限公司,1
399,北京航空航天大学,23
400,北京蓝数工坊数字科技有限公司,1
401,北京蚁视科技有限公司,1
402,北京行云时空科技有限公司,4
403,北京视据科技有限公司,1
404,北京视酷伟业科技股份有限公司,2
405,北京触角科技有限公司,2
406,北京讯通安添通讯科技有限公司,2
407,北京谷东网科技有限公司,6
408,北京赛博恩福科技有限公司,1
409,北京超多维科技有限公司,2
410,北京越想象国际科贸发展有限公司,1
411,北京车和家信息技术有限公司,1
412,北京达美盛软件股份有限公司,1
413,北京邮电大学,14
414,北京酷我科技有限公司,1
415,北京金山软件有限公司,5
416,北京铅笔视界科技有限公司,1
417,北京铠博德科技有限公司,2
418,北京零境科技有限公司,1
419,北京音悦荚科技有限责任公司,1
420,北京麒麟合盛科技有限公司,1
421,华东师范大学,2
422,华东理工大学,1
423,华中师范大学,7
424,华中科技大学,7
425,华为技术有限公司,44
426,华北水利水电大学,1
427,华北电力大学,2
428,华南农业大学,1
429,华南师范大学,2
430,华南理工大学,20
431,华夏动漫集团有限公司,1
432,华特迪士尼公司,6
433,华盛顿大学,1
434,华纳兄弟娱乐公司,3
435,华能济阳生物质热电有限公司,1
436,华自科技股份有限公司,1
437,华超,2
438,南京专创知识产权服务有限公司,1
439,南京云鲎智能大数据有限公司,1
440,南京亚太嘉园智慧空间营造有限公司,1
441,南京信息工程大学,5
442,南京信息职业技术学院,1
443,南京动视科技有限公司,2
444,南京华讯方舟通信设备有限公司,5
445,南京大五教育科技有限公司,2
446,南京大学,1
447,南京奥格曼提软件科技有限公司,6
448,南京富尔登科技发展有限公司,1
449,南京工程学院,1
450,南京市儿童医院,1
451,南京市城市地下管线数字化管理中心,1
452,南京开为网络科技有限公司,1
