公开号,申请号,标题,申请日,公开日,授权公告日,国际分类,国际主分类,美国分类,美国主分类,权利要求数,申请人,标准化申请人,发明人,第一发明人,本文引用专利数,引用本文专利数,本文自引用专利数,本文非自引用专利数,自引用本文专利数,非自引用本文专利数,法律状态,同族专利数,技术特征
"CN114527574A","CN202210238735.2","一种具有光机镜腿同步折叠结构的增强现实设备","20220311","20220524",,"G02B 27/01","G02B","","","8","广州驰景企智能电子技术有限公司","广州驰景企智能电子技术有限公司","赵凤","赵凤","0","0","0","0","0","0","公开","0","15",
"CN114527879A","CN202210174730.8","一种基于增强现实技术的航空机务飞行检查站位引导方法","20220225","20220524",,"G06F  3/01 | G06F  9/451 | G06T 19/00 | G06T 19/20","G06F","","","2","中国人民解放军空军工程大学航空机务士官学校","中国人民解放军空军工程大学","谈敦铭 | 杜晓伟 | 孙锋山 | 周平 | 王春雨 | 赵叶曼","谈敦铭","0","0","0","0","0","0","公开","0","13",
"CN114521911A","CN202210164032.X","基于头颅侧位的增强现实显示方法、系统及存储介质","20220222","20220524",,"A61B  6/14 | A61B  6/00","A61B","","","17","上海爱乐慕健康科技有限公司","上海爱乐慕健康科技有限公司","岳江 | 魏海林 | 郑旭 | 盘景松 | 王冠 | 孙靖超","岳江","0","0","0","0","0","0","公开","0","15",
"CN114529670A","CN202210120009.0","一种基于增强现实技术处理显微镜成像的方法","20220206","20220524",,"G06T 17/00 | G06T 19/00 | G02B 21/36 | G06F  3/01","G06T","","","10","上海诠视传感技术有限公司","上海诠视传感技术有限公司","王建华 | 苑士良 | 林瓊 | 朱明","王建华","0","0","0","0","0","0","公开","0","15",
"CN114527740A","CN202110836959.9","用于增强现实的方法和系统","20210723","20220524",,"G05D  1/02 | G06F  3/01","G05D","","","14","动态AD有限责任公司","动态ad有限责任公司","T·亨德里克森 | S·阿加瓦尔 | A·阿拉劳","T·亨德里克森","0","0","0","0","0","0","公开","0","10",
"CN114527864A","CN202011307663.X","增强现实文字显示系统、方法、设备及介质","20201119","20220524",,"G06F  3/01 | G06F  3/0346 | G06F  3/0481 | G06F  3/0488","G06F","","","12","京东方科技集团股份有限公司 | 北京京东方光电科技有限公司","京东方","范清文 | 苗京花 | 郝帅 | 郑超 | 张浩 | 陈丽莉","范清文","0","0","0","0","0","0","公开","0","16",
"CN114531582A","CN202011206535.6","一种增强现实功能控制方法和电子设备","20201102","20220524",,"H04N 13/398 | G06T 19/00 | H04W  4/021 | H04W  4/029 | H04N 13/344 | H04N  5/232 | G06T  7/70","H04N","","","22","华为技术有限公司","华为技术有限公司","李世明 | 王帅 | 魏江波 | 唐建中","李世明","0","0","0","0","0","0","公开","0","14",
"CN114529690A","CN202011199769.2","增强现实场景呈现方法、装置、终端设备和存储介质","20201030","20220524",,"G06T 19/00 | G06T 15/20 | G06T 17/05 | G06F 16/29","G06T","","","13","北京字跳网络技术有限公司","字节跳动有限公司","张树鹏 | 李耔余 | 陈怡 | 崔馨平 | 刘丛笑","张树鹏","0","0","0","0","0","0","公开","0","24",
"CN114519790A","CN202210103381.0","基于增强现实的特征点云立体对象框选方法及装置","20220127","20220520",,"G06V 10/25 | G06V 10/75 | G06V 20/40 | G06V 20/64","G06V","","","10","广州民航信息技术有限公司","广州民航信息技术有限公司","张宇光 | 马维兵 | 陈星 | 范修伟 | 汪迪岑","张宇光","0","0","0","0","0","0","公开","0","14",
"CN114518731A","CN202210099733.X","可远程应用的大场景工业现场无标记增强现实辅助制造和运维系统","20220127","20220520",,"G05B 19/418","G05B","","","10","哈尔滨工程大学","哈尔滨工程大学","徐贺 | 马震 | 靳金田 | 常溢喆 | 赵卓文","徐贺","0","0","0","0","0","0","公开","0","40",
