,国际分类--ipc4,histogram
0,A47C,1
1,A61B,2
2,A63F,1
3,B25J,3
4,B60L,2
5,B60N,1
6,B60R,8
7,B60W,2
8,B62D,3
9,B64C,2
10,F04D,1
11,F16M,1
12,G01B,1
13,G01C,4
14,G01M,1
15,G01N,4
16,G01R,3
17,G02F,1
18,G03B,3
19,G04G,1
20,G05B,3
21,G05D,1
22,G06F,185
23,G06K,22
24,G06N,1
25,G06Q,5
26,G06T,33
27,G06V,5
28,G07G,2
29,G08B,1
30,G08C,1
31,G08G,3
32,G09F,1
33,G09G,6
34,G10F,1
35,G10L,1
36,G11B,1
37,G11C,3
38,H01Q,1
39,H02J,1
40,H04B,4
41,H04L,27
42,H04M,49
43,H04N,54
44,H04R,7
45,H04W,42
46,H05B,1
47,H05K,5
48,nan,12
