公开号,申请号,标题,申请日,公开日,授权公告日,国际分类,国际主分类,美国分类,美国主分类,权利要求数,申请人,标准化申请人,发明人,第一发明人,本文引用专利数,引用本文专利数,本文自引用专利数,本文非自引用专利数,自引用本文专利数,非自引用本文专利数,法律状态,同族专利数,技术特征
"US11544688B2","US16/911133","Predictive inventory management","20200624","20230103","20230103","G06Q 20/18 | G07C  9/00 | G06Q 10/08 | G06Q 20/04 | G07F  9/00","G06Q","G06Q20/18 | G06Q10/087 | G06Q20/047 | G07C9/00182 | G07F9/002","G06Q20","20","Lyft, Inc.","lyft","Baren; Trent | Greenwood; Luke George | Agarwal; Sachin | Garcia; David Harry | Eyler; Ethan Duncan | Hung; Tzu-San | MacDonnell; Martin Conte","Baren","0","0","0","0","0","0","有效","0","15",
"US11537868B2","US15/811489","Generation and update of HD maps using data from heterogeneous sources","20171113","20221227","20221227","G06N  3/08 | G06N 20/00 | G06F 16/29 | G01C 21/32 | G06K  9/00 | G05D  1/02","G06N","G06N3/08 | G01C21/32 | G05D1/0274 | G06F16/29 | G06K9/00 | G06N20/00","G06N3","20","Lyft, Inc.","lyft","Arditi; Gil","Arditi","0","0","0","0","0","0","有效","0","19",
"US11532060B2","US16/368848","Systems and methods for matching autonomous transportation provider vehicles and transportation requests in transportation management systems","20190328","20221220","20221220","G06Q 50/30 | G08G  1/00","G06Q","G06Q50/30 | G08G1/202","G06Q50","19","Lyft, Inc.","lyft","Chen; Jessica Yunan | Hurley; Gavin Sebastian | Jen; Leighton Kamaile | O'Keefe; Jonathan Patrick | Panichev; Oleg Vadim | Rasmusson, Jr.; Robert Earl | Tighe; John | Weill; Alexis | Wolf; Adam Alexander","Chen","0","0","0","0","0","0","有效","0","21",
"US11530927B2","US16/455252","Customizing user interface experiences for requesters of transportation services","20190627","20221220","20221220","G01C 21/34 | G08G  1/00 | G06Q 50/30 | H04W  4/02 | H04W  4/30 | H04W  4/40","G01C","G01C21/343 | G01C21/3484 | G06Q50/30 | G08G1/20 | H04W4/025 | H04W4/30 | H04W4/40","G01C21","20","Lyft, Inc.","lyft","Wang; George Siqiao","Wang","0","0","0","0","0","0","有效","0","9",
"US11514546B2","US16/921698","Dynamically generating and updating multipliers for a transportation matching system using machine learning","20200706","20221129","20221129","G06F  7/70 | G06Q 50/30 | H04W  4/021 | H04W  4/40 | G06N 20/00","G06F","G06Q50/30 | H04W4/021 | H04W4/40 | G06N20/00","G06Q50","20","Lyft, Inc.","lyft","Chachra; Ricky | Chiao; Tzu-Hsin | Shekhawat; Ashivni | Sholley; Christopher | Thai; Jerome Hong-Phat | Frederick; Adriel","Chachra","0","0","0","0","0","0","有效","0","13",
"US11514487B1","US16/580224","Systems and methods for offline and online vehicle usage for volume-based metrics","20190924","20221129","20221129","G06Q 10/02 | G06Q 30/02 | G01C 21/34 | G06Q 10/04 | G06Q 10/06 | G06Q 50/30","G06Q","G06Q30/0284 | G01C21/3438 | G01C21/3453 | G06Q10/02 | G06Q10/047 | G06Q10/063 | G06Q50/30","G06Q30","20","Lyft, Inc.","lyft","Alwafai; Deanna Ettidale | Bhargava; Aastha | Gray; Erin Catherine Maryak | Kumaraswamy; Yeshwanth | McLean; Adrian Paul | Overbeck; Londa Fiorella","Alwafai","0","0","0","0","0","0","有效","0","17",
"US11508026B2","US14/985575","System for navigating transportation service providers to fulfill transportation requests authorized by an organization","20151231","20221122","20221122","G06Q 50/30 | G06Q 10/02","G06Q","G06Q50/30 | G06Q10/02","G06Q50","20","Lyft, Inc.","lyft","Marco; Talmon | Magazinik; Igor","Marco","22","0","0","22","0","0","撤回","1","30",
"US11494714B2","US16/780712","Efficiency of a transportation matching system using geocoded provider models","20200203","20221108","20221108","G06Q 10/06 | G06N 20/00","G06Q","G06Q10/06311 | G06N20/00 | G06Q2240/00","G06Q10","20","Lyft, Inc.","lyft","Gupta; Gaurav | Milo; Ehud | Khalid; Omar | Kim; Amy J. | Yi Han Lu; Jacky | Zhao; Richard | Farmer; Robert A.","Gupta","80","0","7","73","0","0","有效","2","16",
"US11473924B2","US16/805113","Transition of navigation modes for multi-modal transportation","20200228","20221018","20221018","G01C 21/36","G01C","G01C21/3655","G01C21","20","Lyft, Inc.","lyft","Spielman; Charles Parker | Gulati; Mayank | Shalev; Assaf Haim | Todorovich; Christina Mara | Khawaja; Mohammad Harith Aslam","Spielman","19","0","1","18","0","0","撤回","1","21",
"US11463559B1","US17/410921","Compressing digital metrics for transmission across a network utilizing a graph-based compression dictionary and time slice delta compression","20210824","20221004","20221004","G06F 15/16 | H04L 69/04 | H04L 47/38 | H04L 51/06","G06F","H04L69/04 | H04L47/38 | H04L51/06","H04L69","20","Lyft, Inc.","lyft","Agarwal; Kirti | Badii; Behrooz | Oorloff; Nathaniel Joseph | Pinner; Jeffrey Tsvi | Ramin; Yann Thomas","Agarwal","18","0","0","18","0","0","有效","0","14",
"US11449962B2","US16/027208","Systems and methods for transport cancellation using data-driven models","20180703","20220920","20220920","G06Q 50/30 | G06N 20/00","G06Q","G06Q50/30 | G06N20/00","G06Q50","19","Lyft, Inc.","lyft","Kodesh; Snir | Li; Andrew | Torkornoo; Desmond Mawuko | Yarin; Naomi","Kodesh","8","0","0","8","0","0","有效","1","21",
