公开号,申请号,标题,申请日,公开日,授权公告日,国际分类,国际主分类,美国分类,美国主分类,权利要求数,申请人,标准化申请人,发明人,第一发明人,本文引用专利数,引用本文专利数,本文自引用专利数,本文非自引用专利数,自引用本文专利数,非自引用本文专利数,法律状态,同族专利数,技术特征
"US11558566B2","US17/186121","Synchronized spinning LIDAR and rolling shutter camera system","20210226","20230117","20230117","H04N  5/353 | G06T  7/521 | H04N  5/235 | H04N  5/247 | H04N  5/341 | G01S 17/89 | H04N  5/225 | H04N  5/232 | G01S 17/42 | G01S 17/86 | G06T 17/05 | G06T  7/90","H04N","H04N5/3532 | G01S17/42 | G01S17/86 | G01S17/89 | G06T7/521 | H04N5/2258 | H04N5/2351 | H04N5/2353 | H04N5/23238 | H04N5/247 | H04N5/341 | G06T7/90 | G06T17/05 | G06T2207/10028 | G06T2207/10144 | G06T2207/10152","H04N5","20","Waymo LLC","google","Gassend; Blaise | Ingram; Benjamin | Wendel; Andreas | Shand; Mark Alexander","Gassend","0","0","0","0","0","0","有效","0","18",
"US11557127B2","US16/737263","Close-in sensing camera system","20200108","20230117","20230117","G06V 20/58 | G01S 17/931 | G01S 17/894 | B60R 11/04 | H04N  5/232","G06V","G06V20/58 | B60R11/04 | G01S17/894 | G01S17/931 | H04N5/23229 | B60R2300/301 | B60R2300/802 | B60R2300/8093","G06V20","25","Waymo LLC","google","Toth; Kimberly | Dittmer; Jeremy | Guidi; Giulia | Avram; Peter","Toth","0","0","0","0","0","0","有效","0","20",
"US11556744B1","US17/116255","Auto labeler","20201209","20230117","20230117","G06K  9/62 | G01S 17/89 | G06N 20/20 | G01S 17/58 | G01S 17/04 | G06V 20/20 | G06V 20/58","G06K","G06K9/6257 | G01S17/04 | G01S17/58 | G01S17/89 | G06N20/20 | G06V20/20 | G06V20/58","G06K9","20","Waymo LLC","google","Joshi; Aditya | Fiedler; Ingrid | Tsui; Lo Po","Joshi","0","0","0","0","0","0","有效","0","10",
"US11554821B2","US17/024769","Systems and methods for automatic air and electrical connections on autonomous cargo vehicles","20200918","20230117","20230117","B62D 53/08 | G05D  1/00 | G01S 17/88 | G05D  1/02","B62D","B62D53/0842 | G01S17/88 | G05D1/0011 | G05D1/0246 | G05D1/0257 | G05D2201/0216","B62D53","20","Waymo LLC","google","Grossman; William","Grossman","0","0","0","0","0","0","有效","0","25",
"US11554787B2","US17/360974","Secondary disengage alert for autonomous vehicles","20210628","20230117","20230117","B60W 50/10 | B60W 50/14 | G05D  1/00 | B60W 40/105 | B60W 50/00","B60W","B60W50/10 | B60W40/105 | B60W50/14 | G05D1/0061 | G05D1/0088 | B60W2050/0073 | B60W2050/146 | G05D2201/0213","B60W50","24","Waymo LLC","google","Nemec; Philip | Hutchings; Keith | Mercay; Julien | Al-Alusi; Annissa | Panigrahi; Saswat | Landy; Cristi | Schwall; Matthew","Nemec","0","0","0","0","0","0","有效","0","13",
"US11554756B2","US16/944194","Control for passive wiper system","20200731","20230117","20230117","B60S  1/56 | B60S  1/48 | B60S  1/08 | H02P  7/06 | B08B  1/04 | B08B  1/00 | B60S  1/34 | G02B 27/00","B60S","B60S1/56 | B08B1/00 | B08B1/04 | B60S1/08 | B60S1/0848 | B60S1/0896 | B60S1/3404 | B60S1/482 | B60S1/486 | B60S1/566 | G02B27/0006 | H02P7/06","B60S1","21","Waymo LLC","google","Doorley; Graham | Karplus; Paul Thomas Hansen | Avram; Peter","Doorley","0","0","0","0","0","0","有效","0","10",
"US11554714B1","US17/034784","Unique signaling for vehicles to preserve user privacy","20200928","20230117","20230117","B60Q  1/50 | G05D  1/00 | G08G  1/00 | G01C 21/34 | G05D  1/02 | G06Q 10/02 | B60W 50/14","B60Q","B60Q1/50 | G01C21/3415 | G01C21/3438 | G05D1/0022 | G05D1/0088 | G05D1/0223 | G06Q10/02 | G08G1/202 | B60Q1/503 | B60W50/14 | G05D2201/0213","B60Q1","20","Waymo LLC","google","Kemler; Brian | Fredinburg; Daniel","Kemler","0","0","0","0","0","0","有效","0","13",
"US11552798B2","US16/526384","Method and system for authenticating a secure credential transfer to a device","20190730","20230110","20230110","H04L  9/32","H04L","H04L9/3234 | H04L9/3213 | H04L9/3263","H04L9","17","Waymo LLC","google","Sukhomlinov; Vadim | Martin; Alberto | Pronin; Andrey","Sukhomlinov","0","0","0","0","0","0","有效","0","18",
"US11551458B1","US16/925716","Plane estimation for contextual awareness","20200710","20230110","20230110","G06K  9/00 | G06V 20/58 | G06K  9/62 | G05D  1/02 | G06V 10/75","G06K","G06V20/582 | G05D1/0246 | G06K9/6267 | G06V10/751 | G06K9/00536","G06V20","16","Waymo LLC","google","Ferguson; David Ian Franklin | Silver; David Harrison | Murveit; Hyman Jack","Ferguson","0","0","0","0","0","0","有效","0","9",
"US11550331B1","US16/919538","Detecting street parked vehicles","20200702","20230110","20230110","G05D  1/02 | G08G  1/0967 | G08G  1/0962 | G08G  1/16 | G08G  1/015 | G05D  1/00 | G08G  1/052 | G06V 20/58","G05D","G05D1/0231 | G05D1/0088 | G05D1/0234 | G06V20/586 | G08G1/015 | G08G1/052 | G08G1/09626 | G08G1/096725 | G08G1/096758 | G08G1/096783 | G08G1/165","G05D1","20","Waymo LLC","google","Silver; David Harrison | Van Den Berg; Jur Pieter | Fairfield; Nathaniel","Silver","0","0","0","0","0","0","有效","0","13",
"US11550039B2","US17/173128","Mirror assembly","20210210","20230110","20230110","G02B 26/08 | G01S  7/481 | G01S 17/42 | G02B 26/12 | G01S 17/89","G02B","G01S7/4817 | G01S7/4814 | G01S7/4816 | G01S17/42 | G01S17/89 | G02B26/122 | G02B26/125","G01S7","20","Waymo LLC","google","Gassend; Blaise | Droz; Pierre-Yves | Ingram; Benjamin T.","Gassend","0","0","0","0","0","0","有效","0","11",
"US11548440B2","US17/476538","Communications for autonomous vehicles","20210916","20230110","20230110","B60Q  5/00 | G05D  1/00 | G08G  1/00 | B60Q  1/26","B60Q","B60Q5/005 | B60Q1/26 | G05D1/0088 | G08G1/202","B60Q5","20","Waymo LLC","google","Pandit; Salil | Mercay; Julien | Wright; Clement","Pandit","0","0","0","0","0","0","有效","0","10",
"US11545739B2","US17/063865","Plated, injection molded, automotive radar waveguide antenna","20201006","20230103","20230103","H01Q  1/32 | H01Q  1/50 | H01Q  9/04 | H01P  5/12 | H01P 11/00 | H01Q 21/06 | H01Q 21/00 | H01Q 13/22 | G01S  7/40","H01Q","H01Q1/3233 | H01P5/12 | H01P11/00 | H01P11/002 | H01Q1/32 | H01Q1/50 | H01Q9/04 | H01Q9/0485 | H01Q13/22 | H01Q21/00 | H01Q21/0037 | H01Q21/0043 | H01Q21/0087 | H01Q21/06 | H01Q21/064 | G01S7/4052","H01Q1","20","Waymo LLC","google","Chen; Benjamin | Brown; Adam | Izadian; Jamal","Chen","0","0","0","0","0","0","有效","0","8",
"US11544869B2","US17/342434","Interacted object detection neural network","20210608","20230103","20230103","G06T  7/73 | G06T  7/50 | G06K  9/62 | G06N  3/08 | G06N  3/04","G06T","G06T7/73 | G06K9/628 | G06K9/6217 | G06N3/04 | G06N3/08 | G06T7/50 | G06T2207/10028 | G06T2207/20084 | G06T2207/30196","G06T7","20","Waymo LLC","google","Ayvaci; Alper | Chen; Yu-Han | Yu; Ruichi | Wu; Chen | Radwan; Noha Waheed Ahmed | Shlens; Jonathon","Ayvaci","0","0","0","0","0","0","有效","0","17",
"US11544173B1","US17/120834","Detecting performance regressions in software for controlling autonomous vehicles","20201214","20230103","20230103","G06F 11/36 | G06F  9/445 | G06F  8/71 | G06F 11/34 | G06F 11/26 | G06F  9/48 | G06F 11/263","G06F","G06F11/3612 | G06F8/71 | G06F11/3616 | G06F11/3664 | G06F9/4843 | G06F11/261 | G06F11/263 | G06F11/3409 | G06F11/3433 | G06F11/3452 | G06F11/3466 | G06F11/3604 | G06F11/3608 | G06F11/3676 | G06F11/3688 | G06F11/3692","G06F11","20","Waymo LLC","google","Gabrovski; Aleksandar Rumenov","Gabrovski","0","0","0","0","0","0","有效","0","13",
"US11543824B2","US16/154829","Queueing into pickup and drop-off locations","20181009","20230103","20230103","G05D  1/02 | B60W 60/00","G05D","G05D1/0214 | B60W60/00253 | B60W2554/406 | G05D2201/0212","G05D1","25","Waymo LLC","google","Dyer; John Wesley | Epstein; Michael","Dyer","0","0","0","0","0","0","有效","0","18",
"US11543823B2","US17/177278","Reducing inconvenience to surrounding road users caused by stopped autonomous vehicles","20210217","20230103","20230103","G05D  1/02 | G08G  1/01","G05D","G05D1/0212 | G08G1/012 | G08G1/0133 | G05D2201/0212 | G06Q2240/00","G05D1","20","Waymo LLC","google","Dyer; John Wesley | Epstein; Michael | Hu; Ken","Dyer","0","0","0","0","0","0","有效","0","10",
"US11543495B2","US16/227341","Shot reordering in LIDAR systems","20181220","20230103","20230103","G01S  7/484 | G01S  7/481 | G01S  7/4865 | G01S 17/931 | G01S 17/10","G01S","G01S7/484 | G01S7/4815 | G01S7/4865 | G01S17/931 | G01S17/10","G01S7","20","Waymo LLC","google","Shand; Mark Alexander","Shand","0","0","0","0","0","0","有效","0","9",
"US11541903B2","US16/892138","Autonomous driving with surfel maps","20200603","20230103","20230103","B60W 60/00 | G06T 17/20 | G06T 15/08 | G06K  9/62 | G06T 17/05 | G06V 20/56","B60W","B60W60/001 | G06K9/6278 | G06T15/08 | G06T17/05 | G06T17/20 | G06V20/56","B60W60","21","Waymo LLC","google","Hernandez Esteban; Carlos | Montemerlo; Michael | Pawlowski; Peter | Margines; David Yonchar","Hernandez Esteban","0","0","0","0","0","0","有效","0","15",
"US11539107B2","US17/135268","Substrate integrated waveguide transition including a metallic layer portion having an open portion that is aligned offset from a centerline","20201228","20221227","20221227","H01P  5/107 | H01P  3/12 | H01P  3/08 | H05K  1/02","H01P","H01P5/107 | H01P3/082 | H01P3/121 | H05K1/024 | H05K2201/0195","H01P5","18","Waymo LLC","google","Lim; Edwin | Argo; Tegan | Weinstein; Marvin","Lim","0","0","0","0","0","0","有效","0","11",
"US11537133B2","US15/931012","Dynamic routing for autonomous vehicles","20200513","20221227","20221227","G05D  1/02 | G01C 21/20 | G01C 21/34 | G01C 21/36 | G08G  1/0968","G05D","G05D1/0217 | G01C21/20 | G01C21/3407 | G01C21/3461 | G01C21/3469 | G01C21/3667 | G08G1/096833","G05D1","21","WAYMO LLC","google","Fairfield; Nathaniel | Herbach; Joshua Seth","Fairfield","0","0","0","0","0","0","有效","0","17",
"US11537128B2","US16/993672","Detecting and responding to processions for autonomous vehicles","20200814","20221227","20221227","G01C 22/00 | G05D  1/00 | B60W 30/18 | G06V 20/58","G01C","G05D1/0088 | B60W30/18009 | G06V20/584 | B60W2554/804 | B60W2555/60 | G05D2201/0213","G05D1","23","Waymo LLC","google","Silver; David Harrison | Yang; Qichi","Silver","0","0","0","0","0","0","有效","0","6",
