公开号,申请号,标题,申请日,公开日,授权公告日,国际分类,国际主分类,美国分类,美国主分类,权利要求数,申请人,标准化申请人,发明人,第一发明人,本文引用专利数,引用本文专利数,本文自引用专利数,本文非自引用专利数,自引用本文专利数,非自引用本文专利数,法律状态,同族专利数,技术特征
"US11567501B2","US16/854380","Method and system for fusing occupancy maps","20200421","20230131","20230131","G05D  1/02 | B60W 30/09 | B60W 40/02 | B60W 40/08","G05D","G05D1/0214 | B60W30/09 | B60W40/02 | B60W2040/0881","G05D1","20","APTIV TECHNOLOGIES LIMITED","aptiv technologies","Le mann; Stephanie | Iurgel; Uri","Le mann","0","0","0","0","0","0","有效","0","13",
"US11567500B2","US16/849327","System and method for trajectory estimation","20200415","20230131","20230131","G05D  1/02 | B60W 30/12 | B60W 30/09 | B60W 10/20 | B60W 30/095 | G01S 13/931 | G01S 17/89 | G08G  1/16","G05D","G05D1/0214 | B60W10/20 | B60W30/09 | B60W30/0953 | B60W30/0956 | B60W30/12 | G01S13/931 | G01S17/89 | G08G1/167 | B60W2420/52 | G01S2013/9318 | G05D2201/0213","G05D1","14","APTIV TECHNOLOGIES LIMITED","aptiv technologies","Wuthishuwong; Chairit | Carlander; Markus P r Oscar","Wuthishuwong","0","0","0","0","0","0","有效","0","23",
"US11565653B2","US17/131606","Vehicle occupancy-monitoring system","20201222","20230131","20230131","G06F 17/00 | B60R 22/48 | B60K 35/00 | G08B  7/06 | B60Q  3/70","G06F","B60R22/48 | B60K35/00 | G08B7/06 | B60K2370/1529 | B60Q3/70 | B60R2022/485 | B60R2022/4816 | B60R2022/4858 | B60R2022/4866","B60R22","20","Aptiv Technologies Limited","aptiv technologies","Welk; Douglas L. | Suda; Timothy A.","Welk","0","0","0","0","0","0","有效","0","13",
"US11562575B2","US17/178098","Methods and systems for object detection","20210217","20230124","20230124","G06K  9/00 | G06K  9/62 | G06N  3/02 | G06V 20/58 | G06V 10/60","G06K","G06V20/584 | G06N3/02 | G06V10/60","G06V20","20","Aptiv Technologies Limited","aptiv technologies","Bogacki; Piotr | Dlugosz; Rafal","Bogacki","0","0","0","0","0","0","有效","0","15",
"US11558972B2","US16/952277","Electrical center cover with machine-readable indicator confirmation of lock engagement","20201119","20230117","20230117","H05K  5/03 | B60R 16/02 | H05K  5/02 | B60R 16/023","H05K","H05K5/03 | B60R16/0239 | H05K5/0221 | H05K5/0239","H05K5","20","APTIV TECHNOLOGIES LIMITED","aptiv technologies","Salayandia; Itzel Alejandra Hinojos | Stern; Eric J. | Molina; Sergio Armendariz | Eichorn; Daniel Scott | Sifuentes; Daniel Alejandro Argumedo | Chacon; Roberto Carlos","Salayandia","0","0","0","0","0","0","有效","0","12",
"US11557853B2","US17/501184","Connector assembly with strain relief device in two parts","20211014","20230117","20230117","H01R 13/58 | H01R 43/26 | H01R 13/639","H01R","H01R13/5812 | H01R13/639 | H01R43/26 | H01R2201/26","H01R13","11","APTIV TECHNOLOGIES LIMITED","aptiv technologies","Fabre; Jean | Menard; Pascal","Fabre","0","0","0","0","0","0","有效","0","24",
"US11554781B2","US16/827309","Driver alertness monitoring including a predictive sleep risk factor","20200323","20230117","20230117","B60W 40/08 | B60W 30/00 | B60W 40/04 | B60W 40/06","B60W","B60W40/08 | B60W30/00 | B60W40/04 | B60W40/06 | B60W2040/0827 | B60W2040/0881","B60W40","15","APTIV TECHNOLOGIES LIMITED","aptiv technologies","Tamilarasan; Santhosh","Tamilarasan","0","0","0","0","0","0","有效","0","13",
"US11552778B2","US16/801296","Method of multi-sensor data fusion","20200226","20230110","20230110","H04L  1/00 | H04L  7/00 | G06N  3/04 | G06N  3/08 | B60W 50/00","H04L","H04L7/0029 | G06N3/0436 | G06N3/08 | H04L1/0057 | B60W50/00 | B60W2050/006","H04L7","17","APTIV TECHNOLOGIES LIMITED","aptiv technologies","Su; Yu | Zhu; Weimeng | Meuter; Mirko","Su","0","0","0","0","0","0","有效","0","15",
"US11552426B1","US17/351538","Sealed electrical connector having a male blade stabilizer with a seal retention feature","20210618","20230110","20230110","H01R 13/52 | H01R 13/627 | H01R 13/502","H01R","H01R13/5219 | H01R13/502 | H01R13/6273","H01R13","19","APTIV TECHNOLOGIES LIMITED","aptiv technologies","Sundarakrishnamachari; Rangarajan | Jogula; Sivakumar","Sundarakrishnamachari","0","0","0","0","0","0","有效","0","25",
"US11545806B2","US17/120402","Conductor assembly staging for robotic installation","20201214","20230103","20230103","H01R 43/26","H01R","H01R43/26 | H01R2201/26","H01R43","20","APTIV TECHNOLOGIES LIMITED","aptiv technologies","Peterson; David R. | Sudik, Jr.; Joseph | Brantingham; Duane Lee","Peterson","9","0","2","7","0","0","有效","0","16",
