公开号,申请号,标题,申请日,公开日,授权公告日,国际分类,国际主分类,美国分类,美国主分类,权利要求数,申请人,标准化申请人,发明人,第一发明人,本文引用专利数,引用本文专利数,本文自引用专利数,本文非自引用专利数,自引用本文专利数,非自引用本文专利数,法律状态,同族专利数,技术特征
"US11567212B2","US17/201901","Compressive sensing for photodiode data","20210315","20230131","20230131","G01S 17/931 | G01S  7/486 | G01S  7/484 | G01S 17/89","G01S","G01S17/931 | G01S7/484 | G01S7/486 | G01S17/89","G01S17","20","ARGO AI, LLC","argo ai","Tachwali; Yahia","Tachwali","0","0","0","0","0","0","有效","0","19",
"US11565723B2","US17/179524","Systems and methods for vehicle motion planning","20210219","20230131","20230131","B60W 60/00 | B60W 40/06","B60W","B60W60/00274 | B60W40/06 | B60W2554/20 | B60W2554/4045 | B60W2554/802","B60W60","20","ARGO AI, LLC","argo ai","Blandizzi; Pietro | Schur; Randall | Savtchenko; Constantin","Blandizzi","0","0","0","0","0","0","有效","0","19",
"US11563731B2","US17/125166","Method of re-assigning address to network device","20201217","20230124","20230124","G06F  7/04 | H04L  9/40 | G07C  5/00","G06F","H04L63/0823 | G07C5/008 | H04L63/0876","H04L63","18","ARGO AI LLC","argo ai","Taylor; Christopher Scott | Margosian; Brian | Cline; Alexander","Taylor","0","0","0","0","0","0","有效","0","27",
"US11562572B2","US17/118768","Estimating auto exposure values of camera by prioritizing object of interest based on contextual inputs from 3D maps","20201211","20230124","20230124","G06V 10/25 | G06V 10/60 | G06V 20/58 | G06T  7/73 | G05D  1/02 | G05D  1/00","G06V","G06V20/58 | G05D1/0088 | G05D1/0212 | G06T7/73 | G06V10/25 | G06V10/60 | G05D2201/0213 | G06T2207/30261","G06V20","19","Argo AI, LLC","argo ai","Agarwal; Neetu | Basavaraj; Ravi | Kwant; Richard L.","Agarwal","0","0","0","0","0","0","有效","0","14",
"US11561847B2","US17/461252","Execution sequence integrity parameter monitoring system","20210830","20230124","20230124","G06F 11/00 | G06F 11/07 | G06F 21/57 | G06F  9/30 | G06F 11/30","G06F","G06F11/0751 | G06F9/30007 | G06F11/0736 | G06F11/0772 | G06F11/0793 | G06F11/3003 | G06F11/3058 | G06F11/3089 | G06F21/57","G06F11","20","Argo AI, LLC","argo ai","Hu; Ching Yee","Hu","0","0","0","0","0","0","有效","0","17",
"US11557129B2","US17/241637","Systems and methods for producing amodal cuboids","20210427","20230117","20230117","G06K  9/00 | G06V 20/58 | G06T  7/70 | G01S 17/894","G06K","G06V20/58 | G01S17/894 | G06T7/70 | G06T2207/10028 | G06T2207/20072 | G06T2207/20081 | G06T2207/30261 | G06V2201/07","G06V20","30","ARGO AI, LLC","argo ai","Chang; Ming-Fang | Ratnesh Kumar; FNU | Wang; De | Hays; James","Chang","0","0","0","0","0","0","有效","0","12",
"US11554794B2","US17/104994","Method and system for determining a mover model for motion forecasting in autonomous vehicle control","20201125","20230117","20230117","B60W 60/00","B60W","B60W60/0027 | B60W60/0011","B60W60","19","Argo AI, LLC","argo ai","Schur; Randall | Savtchenko; Constantin","Schur","0","0","0","0","0","0","有效","0","25",
"US11537383B2","US17/069600","Systems and methods for improved smart infrastructure data transfer","20201013","20221227","20221227","H04L 29/08 | G06F  8/65 | H04L 67/104 | H04L 67/00","H04L","G06F8/65 | H04L67/104 | H04L67/34 | Y02B90/20 | Y04S10/00 | Y04S40/00","G06F8","20","ARGO AI, LLC","argo ai","Biala; Ilan | Laverne; Michel H. J.","Biala","41","0","0","41","0","0","有效","0","16",
"US11536608B2","US17/140969","Systems and methods for characterizing spectral reflectance of real world objects","20210104","20221227","20221227","G01J  3/02 | G01J  3/28 | G01J  3/42 | G01J  3/10","G01J","G01J3/42 | G01J3/0208 | G01J3/108 | G01J3/2823 | G01J2003/425","G01J3","20","Argo AI, LLC","argo ai","Morelli; Michael V. | Schouten-Evers; Laurens M. | Oh; Minseok","Morelli","20","0","0","20","0","0","有效","0","8",
"US11535271B2","US17/144441","Methods and systems for monitoring vehicle motion with driver safety alerts","20210108","20221227","20221227","B60W 50/00 | B60W 50/14 | G08G  1/01 | G08G  1/097 | G06V 10/25 | G06V 20/56","B60W","B60W50/14 | G06V10/25 | G06V20/588 | G08G1/0145 | G08G1/097 | B60W2050/143","B60W50","20","Argo AI, LLC","argo ai","McAlister; Colen | Breeden; David | Petroff; Thomas | Cunningham; Christopher | Barone; Patrick | Sredzki; Arek | Seegmiller; Neal | Cai; Xi","McAlister","11","0","0","11","0","0","有效","0","23",
"US11527078B2","US17/216848","Using captured video data to identify pose of a vehicle","20210330","20221213","20221213","G06K  9/00 | G06V 20/58 | G06T 11/20 | G06T  7/70 | G06T  7/20 | G06T  7/00 | G06T  7/90 | G05D  1/02 | G05D  1/00 | G06K  9/62 | G06V 10/75 | G06V 20/40","G06K","G06V20/584 | G05D1/0088 | G05D1/0231 | G06K9/6267 | G06T7/20 | G06T7/70 | G06T7/90 | G06T7/97 | G06T11/20 | G06V10/758 | G06V20/41 | G05D2201/0213 | G06T2207/10016 | G06T2207/20084 | G06T2207/30244 | G06T2207/30252 | G06T2210/12","G06V20","17","Argo AI, LLC","argo ai","Littman; Rotem | Saban; Gilad | Presman; Noam | Berman; Dana | Kagan; Asaf","Littman","15","0","0","15","0","0","有效","6","20",
"US11527028B2","US17/105199","Systems and methods for monocular based object detection","20201125","20221213","20221213","G05D  1/02 | G06T 11/60 | G01C 21/00 | G06V 20/56","G05D","G06T11/60 | G01C21/3822 | G01C21/3859 | G05D1/0251 | G05D1/0274 | G06V20/56 | G05D2201/0213","G06T11","19","ARGO AI, LLC","argo ai","Foley; Sean | Hays; James","Foley","5","0","0","5","0","0","有效","2","31",
"US11520343B2","US16/901322","Methods and systems for performing inter-trajectory re-linearization about an evolving reference path for an autonomous vehicle","20200615","20221206","20221206","G05D  1/02 | G05D  1/00 | B60W 60/00 | B60W 30/18 | B60W 30/09","G05D","G05D1/0214 | B60W30/09 | B60W30/18163 | B60W60/0015 | G05D1/0088 | B60W2520/06 | B60W2552/53 | B60W2554/4041 | B60W2554/4042 | B60W2554/4043 | B60W2554/801 | B60W2554/802 | B60W2555/60 | G05D2201/0213","G05D1","15","Argo AI, LLC","argo ai","Varnhagen; Scott Julian | Kassar; Alice | Atmeh; Ghassan | Seegmiller; Neal | Hukkeri; Ramadev Burigsay","Varnhagen","6","0","0","6","0","0","有效","4","22",
"US11508052B2","US17/017654","Systems and methods for quantifying light flares in images","20200910","20221122","20221122","G06T  7/00 | G06T  7/70 | G06T  3/60 | G06T 11/60","G06T","G06T7/0002 | G06T3/60 | G06T7/70 | G06T11/60 | G06T2207/20076 | G06T2207/20224","G06T7","20","ARGO AI, LLC","argo ai","Gardiner; Koji L.","Gardiner","15","0","0","15","0","0","有效","2","12",
"US11486987B2","US17/062856","Real time noise detection method and system for photon counting pixel array comprising a mask material to yield blocked pixels from detecting reflected pulses of energy","20201005","20221101","20221101","G01S  7/481 | G01S  7/4912 | G01S 17/931 | H01L 27/144","G01S","G01S7/4912 | G01S7/4816 | G01S17/931 | H01L27/1443 | H01L27/1446","G01S7","20","Argo AI, LLC","argo ai","Hostetler; John | Tachwali; Yahia","Hostetler","7","0","0","7","0","0","有效","2","14",
"US11480969B2","US16/735820","Method and system for constructing static directed acyclic graphs","20200107","20221025","20221025","G05D  1/02 | G05D  1/00 | G06F  9/30 | G06F 16/90 | G06V 20/56 | G06F 16/901","G05D","G05D1/0214 | G05D1/0088 | G05D1/0223 | G06F9/3005 | G06F16/9024 | G06V20/56 | G05D2201/0213","G05D1","20","Argo AI, LLC","argo ai","Nichols; Gregory Boyd","Nichols","8","0","0","8","0","0","有效","3","15",
"US11473917B2","US16/928893","System for augmenting autonomous vehicle perception using smart nodes","20200714","20221018","20221018","H04L 29/08 | G01C 21/34 | G08G  1/00 | G06F 16/9537 | H04L 67/12 | G06F 16/29 | G08G  1/01","H04L","G01C21/3407 | G06F16/29 | G06F16/9537 | G08G1/0133 | G08G1/22 | H04L67/12","G01C21","20","Argo AI, LLC","argo ai","Biala; Ilan | Laverne; Michel | Browning; Brett","Biala","29","1","7","22","0","1","有效","6","25",
"US11458980B2","US16/986952","Enhanced sensor cleaning validation","20200806","20221004","20221004","B60W 50/02 | B60S  1/54 | B60S  1/46 | B60Q 11/00 | B60W 50/04","B60W","B60W50/0205 | B60Q11/00 | B60S1/46 | B60S1/54 | B60W50/04 | B60W2050/0215 | B60W2556/20 | B60W2556/25","B60W50","20","ARGO AI, LLC","argo ai","Sennott; Casey J. | Wagner; Morgan M. | Yautz; Dustin Ryan","Sennott","14","0","0","14","0","0","有效","2","12",
"US11448748B2","US17/016558","Systems and methods for simultaneous range-rate unwrapping and outlier removal for radar","20200910","20220920","20220920","G01S 13/70 | G05D  1/02 | G06T  7/70 | G06K  9/62","G01S","G01S13/70 | G05D1/0212 | G06K9/6284 | G06T7/70 | G06T2207/10028 | G06T2207/30252","G01S13","32","Argo AI, LLC","argo ai","Song; Xiufeng","Song","19","0","1","18","0","0","有效","2","15",
"US11443147B2","US17/118705","Systems and methods for object detection using stereovision information","20201211","20220913","20220913","G06K  9/62 | H04N 13/161 | G06V 10/26 | G06V 10/46 | G06V 20/58","G06K","G06K9/6265 | G06V10/26 | G06V10/462 | G06V20/58 | H04N13/161","G06K9","25","Argo AI, LLC","argo ai","Hu; Xiaoyan | Wang; Lingyuan | Happold; Michael | Ziglar; Jason","Hu","11","0","0","11","0","0","有效","3","18",
"US11436842B2","US16/817704","Bulb mask representation for traffic light classification","20200313","20220906","20220906","G06V 20/58 | G05D  1/00 | G06T  7/90 | G06V 10/56 | G06V 10/60","G06V","G06V20/584 | G05D1/0088 | G06T7/90 | G06V10/56 | G06V10/60 | G06T2207/20084 | G06T2207/30252","G06V20","20","Argo AI, LLC","argo ai","Hotson; Guy | Kwant; Richard L. | Yumer; Ersin","Hotson","23","0","0","23","0","0","有效","2","11",
"US11430224B2","US17/078575","Systems and methods for camera-LiDAR fused object detection with segment filtering","20201023","20220830","20220830","G06V 20/58 | B60W 60/00 | G06K  9/62 | G06V 10/75","G06V","G06V20/58 | B60W60/001 | G06K9/6218 | G06V10/751 | B60W2420/52 | B60W2540/225","G06V20","25","Argo AI, LLC","argo ai","Saranin; Arsenii | Alghanem; Basel | Carr; G. Peter K.","Saranin","27","0","0","27","0","0","有效","7","18",
"US11429290B2","US17/097590","Methods and systems for providing a lockless access to a shared memory region in a publish and subscribe system","20201113","20220830","20220830","G06F  3/06","G06F","G06F3/0622 | G06F3/0655 | G06F3/0679","G06F3","34","Argo AI, LLC","argo ai","Nortman; Randall","Nortman","24","0","0","24","0","0","有效","5","18",
"US11429107B2","US16/797109","Play-forward planning and control system for an autonomous vehicle","20200221","20220830","20220830","G05D  1/02 | G05D  1/00","G05D","G05D1/0221 | G05D1/0088 | G05D2201/0213","G05D1","18","Argo AI, LLC","argo ai","Ackenhausen; Thomas Carl | Carmody; Patrick Michael | Costa; Albert","Ackenhausen","42","0","1","41","0","0","有效","2","27",
"US11422534B2","US17/121107","Systems and methods for heating computing elements in vehicles","20201214","20220823","20220823","G06F  1/00 | G05B 19/4155 | G06F  1/20","G06F","G05B19/4155 | G06F1/206 | G05B2219/49216","G05B19","20","ARGO AI, LLC","argo ai","Smith; Joshua S. | Margosian; Brian T. | Nealis; Kevin J. | Skaff; Ryan J. | Jackson; Kenneth John","Smith","11","0","0","11","0","0","有效","3","6",
"US11422233B2","US16/161820","Sensor shield","20181016","20220823","20220823","G01S  7/00 | G01S  7/481 | G01S 17/931 | G01D 11/24","G01S","G01S7/4813 | G01D11/24 | G01S17/931","G01S7","20","Ford Global Technologies, LLC | Argo AI, LLC","ford motor | argo ai","Yautz; Dustin | Jackson; Kenneth | Damaraju; Srinivasa | Soufan; Ahmad","Yautz","11","0","0","11","0","0","有效","3","7",
"US11420647B2","US16/993093","Enhanced static object classification using lidar","20200813","20220823","20220823","B60W 60/00 | G06K  9/62","B60W","B60W60/001 | G06K9/6268 | B60W2420/52","B60W60","20","ARGO AI, LLC","argo ai","Wyffels; Kevin L.","Wyffels","19","2","0","19","0","2","有效","2","14",
"US11414130B2","US16/597273","Methods and systems for lane changes using a multi-corridor representation of local route regions","20191009","20220816","20220816","B60W 30/00 | B62D 15/02 | B60W 30/18 | G08G  1/16 | G01C 21/36 | H04W  4/02","B60W","B62D15/0255 | B60W30/18163 | G01C21/3626 | G08G1/163 | G08G1/164 | H04W4/02 | B60W2554/80 | B60W2556/60","B62D15","25","Argo AI, LLC","argo ai","Seegmiller; Neal | Cunningham; Christopher | Hukkeri; Ramadev B. | Petroff; Thomas | Costa; Albert","Seegmiller","12","0","0","12","0","0","有效","5","16",
"US11405462B1","US17/376643","Systems, methods, and computer program products for testing of cloud and onboard autonomous vehicle systems","20210715","20220802","20220802","H04L 67/12 | H04L  9/40 | H04L 43/50 | H04L 43/08","H04L","H04L67/12 | H04L43/50 | H04L63/123 | H04L63/1425 | H04L63/1433 | H04L43/08 | H04L63/20","H04L67","20","Argo AI, LLC","argo ai","Puchalski; Matthew | Plant; Scott Anthony","Puchalski","5","3","0","5","0","3","有效","0","31",
