公开号,申请号,标题,申请日,公开日,授权公告日,国际分类,国际主分类,美国分类,美国主分类,权利要求数,申请人,标准化申请人,发明人,第一发明人,本文引用专利数,引用本文专利数,本文自引用专利数,本文非自引用专利数,自引用本文专利数,非自引用本文专利数,法律状态,同族专利数,技术特征
"US11170254B2","US16/257720","Method for image analysis","20190125","20211109","20211109","G06K  9/62","G06K","G06K9/6256","G06K9","20","Aurora Innovation, Inc.","aurora innovation","Wrenninge; Carl Magnus | Unger; Carl Jonas Magnus","Wrenninge","139","0","0","139","0","0","有效","4","15",
"US11029395B1","US16/917297","Systems and methods for pulsed-wave LIDAR","20200630","20210608","20210608","G01S  7/484 | G01S  7/481 | G01S 17/26 | G01S 17/58 | G01S 17/931 | G01S 17/34 | G05D  1/02","G01S","G01S7/484 | G01S7/4814 | G01S17/26 | G01S17/34 | G01S17/58 | G01S17/931 | G05D1/0231","G01S7","16","AURORA INNOVATION, INC.","aurora innovation","Barber; Zeb | Reibel; Randy | Baker; Devlin | Kadlec; Emil","Barber","3","5","0","3","0","5","有效","7","13",
"US11016197B1","US16/915045","LIDAR system","20200629","20210525","20210525","G01S 17/931 | G01S  7/48 | G01S  7/4865 | G01S 17/32","G01S","G01S17/931 | G01S7/4804 | G01S7/4865 | G01S17/32","G01S17","20","AURORA INNOVATION, INC.","aurora innovation","Barber; Zeb William | Crouch; Stephen C. | Galloway; Ryan Moore | Angus; Edward Joseph | Kadlec; Emil","Barber","19","0","0","19","0","0","有效","4","9",
"US10976410B1","US16/913518","Generating data using radar observation model based on machine learning","20200626","20210413","20210413","G01S  7/40 | G06N 20/00 | G05D  1/02 | G06T  7/73 | G01S 13/86 | G06T  7/207 | G01S 13/00","G01S","G01S7/4026 | G01S13/867 | G05D1/0221 | G05D1/0257 | G06N20/00 | G06T7/207 | G06T7/74 | G01S2007/403 | G06T2210/12","G01S7","20","AURORA INNOVATION, INC.","aurora innovation","Wang; Shaogang | Eade; Ethan | Smith; Warren","Wang","28","2","2","26","0","2","有效","1","7",
"US10960900B1","US16/916981","Systems and methods for autonomous vehicle control using depolarization ratio of return signal","20200630","20210330","20210330","B60W 60/00 | G01S 17/931 | G01S 17/34 | G01S 17/58 | G01S  7/481 | G01S  7/4912","B60W","B60W60/0025 | G01S7/4811 | G01S7/4817 | G01S7/4912 | G01S17/34 | G01S17/58 | G01S17/931 | B60W2420/52 | B60W2552/05 | B60W2552/53 | B60W2554/4029","B60W60","20","AURORA INNOVATION, INC.","aurora innovation","Crouch; Stephen | Barber; Zeb | Kadlec; Emil | Galloway; Ryan | Spillane; Sean","Crouch","3","4","0","3","0","4","有效","7","18",
"US10948600B1","US16/915404","Systems and methods for IQ detection","20200629","20210316","20210316","G01S 17/931 | G01S 17/34 | G01S  7/481 | G05D  1/00 | G01S  7/4912 | G05D  1/02","G01S","G01S17/931 | G01S7/4814 | G01S7/4912 | G01S17/34 | G05D1/0088 | G05D1/0223 | G05D2201/0213","G01S17","20","AURORA INNOVATION, INC.","aurora innovation","Barber; Zeb | Crouch; Stephen | Kadlec; Emil","Barber","4","6","0","4","0","6","有效","10","14",
"US10943368B1","US16/725325","Camera calibration system","20191223","20210309","20210309","G06T  7/80 | G06T  7/70 | G06T  1/60 | H04N 17/00 | B60R  1/00","G06T","G06T7/80 | G06T1/60 | H04N17/002 | B60R1/00 | B60R2300/304","G06T7","20","Aurora Innovation, Inc.","aurora innovation","Ha; Yonggang","Ha","1","0","0","1","0","0","有效","0","10",
"US10942277B1","US16/906378","LIDAR system","20200619","20210309","20210309","G01S 17/931 | G01S  7/481 | G05D  1/00 | G05D  1/02","G01S","G01S17/931 | G01S7/4813 | G01S7/4814 | G01S7/4816 | G05D1/0088 | G05D1/021","G01S17","20","AURORA INNOVATION, INC.","aurora innovation","Angus; Edward Joseph","Angus","11","0","0","11","0","0","有效","7","8",
"US10906536B2","US16/173660","Control of autonomous vehicle based on determined yaw parameter(s) of additional vehicle","20181029","20210202","20210202","B60W 30/095 | G05D  1/02 | G05D  1/00 | G06N 20/00 | G06K  9/62 | G01S 17/931","B60W","B60W30/0956 | G01S17/931 | G05D1/0088 | G05D1/024 | G06K9/6256 | G06K9/6263 | G06N20/00 | B60W2554/4041 | B60W2554/803","B60W30","24","Aurora Innovation, Inc.","aurora innovation","Smith; Warren | Eade; Ethan | Anderson; Sterling J. | Bagnell; James Andrew | Nabbe; Bartholomeus C. | Urmson; Christopher Paul","Smith","49","2","14","35","0","2","有效","16","15",
"US10775804B1","US15/949767","Optical array sensor for use with autonomous vehicle control systems","20180410","20200915","20200915","G06K  9/00 | G05D  1/02 | G06T  7/292 | G06T  3/40 | G05D  1/00","G06K","G05D1/0253 | G05D1/0088 | G06T3/4038 | G06T7/292 | G05D2201/0213 | G06T2207/10048 | G06T2207/10152 | G06T2207/20221 | G06T2207/30252","G05D1","28","Aurora Innovation, Inc.","aurora innovation","Eade; Ethan | Gist, IV; Nathaniel | Pilarski; Thomas","Eade","15","2","0","15","0","2","有效","0","14",
"US10747223B1","US15/949759","Redundant lateral velocity determination and use in secondary vehicle control systems","20180410","20200818","20200818","B60G 17/016 | B62D  6/04 | G05D  1/02 | G05D  1/00","B60G","G05D1/0077 | G05D1/0088 | G05D1/0246 | G05D1/0257","G05D1","32","Aurora Innovation, Inc.","aurora innovation","Eade; Ethan | Gist, IV; Nathaniel | Pilarski; Thomas","Eade","15","6","0","15","0","6","有效","2","8",
"US10732261B1","US16/732152","Generating data using radar observation model based on machine learning","20191231","20200804","20200804","G01S  7/40 | G06T  7/207 | G06N 20/00 | G06T  7/73 | G01S 13/86 | G05D  1/02 | G01S 13/00","G01S","G01S7/4026 | G01S13/867 | G05D1/0221 | G05D1/0257 | G06N20/00 | G06T7/207 | G06T7/74 | G01S2007/403 | G06T2210/12","G01S7","20","AURORA INNOVATION, INC.","aurora innovation","Wang; Shaogang | Eade; Ethan | Smith; Warren","Wang","22","11","0","22","0","11","有效","1","10",
"US10676085B2","US16/173669","Training machine learning model based on training instances with: training instance input based on autonomous vehicle sensor data, and training instance output based on additional vehicle sensor data","20181029","20200609","20200609","B60W 30/00 | B60W 30/095 | G05D  1/02 | G05D  1/00 | G06N 20/00 | G06K  9/62 | G01S 17/931","B60W","B60W30/0956 | G01S17/931 | G05D1/0088 | G05D1/024 | G06K9/6256 | G06K9/6263 | G06N20/00 | B60W2554/4041 | B60W2554/803","B60W30","19","Aurora Innovation, Inc.","aurora innovation","Smith; Warren | Eade; Ethan | Anderson; Sterling J. | Bagnell; James Andrew | Nabbe; Bartholomeus C. | Urmson; Christopher Paul","Smith","33","9","5","28","2","7","有效","16","15",
