公开号,申请号,标题,申请日,公开日,授权公告日,国际分类,国际主分类,美国分类,美国主分类,权利要求数,申请人,标准化申请人,发明人,第一发明人,本文引用专利数,引用本文专利数,本文自引用专利数,本文非自引用专利数,自引用本文专利数,非自引用本文专利数,法律状态,同族专利数,技术特征
"US11566904B2","US16/557608","Map change detection","20190830","20230131","20230131","G01C 21/32 | G01C 21/36 | G01S 17/88 | G05D  1/02","G01C","G01C21/32 | G01C21/3626 | G01S17/88 | G05D1/0231","G01C21","20","GM Cruise Holdings LLC.","gm cruise holdings","Fasola; Juan | Kumar; Harman | Lin; Yu-Cheng | Zhou; Xiaoyu","Fasola","0","0","0","0","0","0","有效","0","19",
"US11561547B2","US16/280415","Autonomous vehicle routing based upon spatiotemporal factors","20190220","20230124","20230124","G05D  1/02 | G01C 21/20 | G01C 21/36 | G05D  1/00 | G01C 21/34","G05D","G05D1/0214 | G01C21/20 | G01C21/3484 | G01C21/3691 | G05D1/0011 | G05D1/0061","G05D1","20","GM CRUISE HOLDINGS LLC","gm cruise holdings","Joseph; Antony | Chi-Johnston; Geoffrey Louis | Vaingankar; Vishal Suresh | Freeman; Laura Athena","Joseph","0","0","0","0","0","0","有效","0","26",
"US11560066B2","US16/825173","High voltage battery bypass for electric vehicle fleet","20200320","20230124","20230124","B60L 53/67 | B60L 53/64 | H02J  7/00 | B60L 53/68 | B60L 53/66","B60L","B60L53/67 | B60L53/64 | B60L53/66 | B60L53/68 | H02J7/0016","B60L53","20","GM Cruise Holdings LLC","gm cruise holdings","Ferguson; Kenneth Ramon | Mandel-Senft; Adam | Rogers; Brett Lee | Kaufman; Chase | Brandon; Jeffrey","Ferguson","0","0","0","0","0","0","有效","0","20",
"US11557061B2","US16/457823","Extrinsic calibration of multiple vehicle sensors using combined target detectable by multiple vehicle sensors","20190628","20230117","20230117","G06T  7/80 | G01S  7/40 | G01S  7/497 | G01S  7/52 | G01S 13/08 | G01S 15/08 | G01S 17/08 | G06T  7/70 | G06T  7/00","G06T","G06T7/80 | G01S7/40 | G01S7/497 | G01S7/5205 | G01S13/08 | G01S15/08 | G01S17/08 | G06T7/70","G06T7","20","GM Cruise Holdings LLC.","gm cruise holdings","Cadien; Adam | Ma; Zhonghua | Ahmed; Jabeer | Semansky; Nicholas","Cadien","0","0","0","0","0","0","有效","0","20",
"US11554628B2","US16/719730","Temperature regulation for autonomous vehicle delivery","20191218","20230117","20230117","B60H  1/00 | G05D  1/02 | G06Q 10/08","B60H","B60H1/00014 | G05D1/0293 | G06Q10/0832","B60H1","20","GM CRUISE HOLDINGS LLC","gm cruise holdings","Meador; Timothy Jon","Meador","0","0","0","0","0","0","有效","0","22",
"US11552379B2","US16/640782","Transition from a stripline to a waveguide","20180820","20230110","20230110","H01P  5/08 | H01P  3/08 | H01P  3/12 | H05K  1/02 | H05K  1/11","H01P","H01P5/08 | H01P3/08 | H01P3/12 | H05K1/0237 | H05K1/115","H01P5","9","CRUISE MUNICH GMBH","cruise munich","Trummer; Stefan","Trummer","0","0","0","0","0","0","有效","0","16",
"US11549815B2","US16/456385","Map change detection","20190628","20230110","20230110","G01C 21/32 | G01C 21/36 | G01S 17/88 | G05D  1/02","G01C","G01C21/32 | G01C21/3626 | G01S17/88 | G05D1/0231","G01C21","17","GM Cruise Holdings LLC.","gm cruise holdings","Fasola; Juan | Kumar; Harman | Lin; Yu-Cheng | Zhou; Xiaoyu","Fasola","0","0","0","0","0","0","有效","0","17",
"US11549476B2","US17/825924","Safely initiating an autonomous vehicle ride","20220526","20230110","20230110","G06F  1/00 | F02N 11/08 | B60W 50/14 | G05D  1/02","G06F","F02N11/0822 | B60W50/14 | G05D1/021 | B60W2050/146","F02N11","20","GM Cruise Holdings LLC.","gm cruise holdings","Shannon; Jacqueline | Engle; Stephanie Olivia | Boniske; Albert","Shannon","0","0","0","0","0","0","有效","0","7",
"US11548471B2","US16/937802","Automated detection of seatbelt webbing damage","20200724","20230110","20230110","B60R 22/12 | B60R 22/48","B60R","B60R22/12 | B60R22/48 | B60R2022/4808","B60R22","20","GM Cruise Holdings LLC","gm cruise holdings","Kaufman; Chase | Brandon; Jeffrey","Kaufman","0","0","0","0","0","0","有效","0","10",
"US11548442B2","US16/872903","Passenger safeguards for autonomous vehicles","20200512","20230110","20230110","B60Q  9/00 | G05D  1/00 | E05B 81/56 | E05B 83/36 | G01S 17/58 | E05B 81/64","B60Q","B60Q9/008 | E05B81/56 | E05B81/64 | E05B83/36 | G01S17/58 | G05D1/0088 | G05D2201/0213","B60Q9","20","GM Cruise Holdings LLC.","gm cruise holdings","ElShenawy; Mohamed Mostafa | Mandi; Nathan","ElShenawy","0","0","0","0","0","0","有效","0","8",
"US11544662B2","US16/727821","Autonomous vehicle delivery monitoring","20191226","20230103","20230103","G06Q 10/08 | G06Q 50/28 | G05D  1/00","G06Q","G06Q10/08355 | G05D1/0027 | G06Q10/0833 | G06Q50/28","G06Q10","20","GM Cruise Holdings LLC","gm cruise holdings","Galliano, III; Anthony | Mathews; Arun A. | Blanc; Charlotte | Palnitkar; Pratik | Meador; Timothy Jon","Galliano, III","7","0","0","7","0","0","有效","0","15",
"US11543822B2","US16/850308","Automated inspection of autonomous vehicle equipment","20200416","20230103","20230103","G05D  1/02 | B60K 35/00 | G06N 20/00 | G05B 19/41 | G05B 19/4155 | B60L 53/16 | G01J  5/00 | G01R 31/66 | G01S 17/89","G05D","G05D1/0212 | B60K35/00 | B60L53/16 | G01J5/00 | G01R31/66 | G01S17/89 | G05B19/4155 | G05D1/0238 | G05D1/0246 | G05D1/0276 | G06N20/00 | G01J2005/0077 | G05B2219/50393 | G05D2201/0213","G05D1","20","GM Cruise Holdings LLC","gm cruise holdings","Mandel-Senft; Adam | Cheung; Tracy | Schmidt; Michael Frank","Mandel-Senft","2","0","0","2","0","0","有效","0","11",
"US11543327B2","US16/832213","Method and apparatus for delivering a thermal shock","20200327","20230103","20230103","G01R 31/28 | G01M 99/00","G01R","G01M99/002 | G01R31/2832 | G01R31/2872","G01M99","20","GM Cruise Holdings LLC","gm cruise holdings","Chen; Fen | Fain; David | Maines; Geoffrey | Tang; Wen-chieh","Chen","2","0","0","2","0","0","有效","0","12",
"US11543251B2","US16/730963","Intelligent route selection for autonomous vehicle delivery system","20191230","20230103","20230103","G01C 21/34 | G06Q 10/08 | G05D  1/00 | G01C 21/36","G01C","G01C21/3453 | G01C21/3697 | G05D1/0088 | G06Q10/0832 | G06Q10/08355","G01C21","20","GM Cruise Holdings LLC","gm cruise holdings","Galliano, III; Anthony | Mathews; Arun A. | Blanc; Charlotte | Palnitkar; Pratik","Galliano, III","14","0","0","14","0","0","有效","0","17",
