,国际分类--ipc4,histogram
0,A01B,3
1,A01D,6
2,A01G,2
3,A01K,8
4,A01M,5
5,A45B,1
6,A45F,1
7,A47G,11
8,A47L,2
9,A61B,3
10,A61D,1
11,A61F,2
12,A61K,1
13,A61L,2
14,A61M,1
15,A61N,1
16,A61P,1
17,A62C,3
18,A62D,1
19,A63B,1
20,A63F,1
21,A63H,9
22,B05B,4
23,B08B,3
24,B23K,1
25,B23P,1
26,B25J,8
27,B32B,1
28,B33Y,2
29,B41J,1
30,B60B,1
31,B60F,3
32,B60J,1
33,B60L,37
34,B60M,1
35,B60P,3
36,B60Q,5
37,B60V,2
38,B60W,3
39,B61B,1
40,B61D,1
41,B62D,2
42,B63B,7
43,B63C,4
44,B63G,11
45,B63H,2
46,B64B,10
47,B64C,882
48,B64D,142
49,B64F,79
50,B64G,2
51,B65D,3
52,B65G,2
53,B65H,1
54,B66D,2
55,B67D,1
56,C12Q,1
57,E02F,1
58,E04G,2
59,E04H,2
60,E05F,1
61,E06C,2
62,E21B,9
63,F01D,1
64,F01M,1
65,F01N,1
66,F02C,3
67,F02D,2
68,F02K,1
69,F02M,1
70,F03D,3
71,F04B,1
72,F16B,2
73,F16C,1
74,F16F,3
75,F16M,4
76,F41B,2
77,F41C,1
78,F41F,1
79,F41G,9
80,F41H,16
81,F41J,3
82,F42B,8
83,F42C,1
84,G01B,1
85,G01C,49
86,G01G,1
87,G01H,1
88,G01J,4
89,G01M,4
90,G01N,7
91,G01P,10
92,G01R,3
93,G01S,79
94,G01V,5
95,G01W,4
96,G02B,7
97,G03B,10
98,G05B,6
99,G05D,369
100,G06F,49
101,G06K,73
102,G06N,11
103,G06Q,80
104,G06T,52
105,G06V,6
106,G07B,3
107,G07C,13
108,G08B,15
109,G08C,11
110,G08G,145
111,G09B,6
112,G09F,2
113,G09G,1
114,G10D,2
115,G10K,4
116,G10L,8
117,G11B,1
118,G16H,1
119,H01F,2
120,H01M,11
121,H01Q,21
122,H02G,3
123,H02J,23
124,H02K,6
125,H02M,2
126,H02P,4
127,H02S,2
128,H04B,70
129,H04K,5
130,H04L,43
131,H04N,77
132,H04Q,2
133,H04R,9
134,H04W,140
135,H05B,2
136,H05K,2
137,nan,169
