公开号,申请号,标题,申请日,公开日,授权公告日,国际分类,国际主分类,美国分类,美国主分类,权利要求数,申请人,标准化申请人,发明人,第一发明人,本文引用专利数,引用本文专利数,本文自引用专利数,本文非自引用专利数,自引用本文专利数,非自引用本文专利数,法律状态,同族专利数,技术特征
"US9883209B2","US14/253526","Vehicle crate for blade processors","20140415","20180130","20180130","G06F 13/36 | G05D  1/00 | G01C 23/00 | G06F  7/00 | H04N 21/2225 | G07C  9/00 | H04W 48/04 | H04W 36/34 | H04W 36/00 | H04N 21/226 | H04N 21/239 | H04N 21/258 | H04N 21/436 | H04N 21/4363 | H04N 21/454 | H04N 21/6408 | H04N 21/643 | H04W 84/18 | G08B 25/01 | G08G  1/0965 | H04W 76/02 | H04W 48/02 | H04W  4/12 | H04W  4/20 | G05D 23/19 | G05D  1/02 | B60W 40/09 | B60W 50/08 | G06F  3/01 | H04W  4/04 | H04W 36/32 | G08G  1/16 | G01C 21/36 | G01C 21/26 | H04N 21/414 | G08B 13/196 | B60R 25/10 | G06F 21/31 | G06F 21/32 | H04W  4/00 | H04L 29/08 | B60C  1/00 | B60R 16/037 | G01C 21/00 | G01C 21/34 | G06F  3/0481 | G06F  3/0484 | G06F  9/445 | G06F 17/28 | G06F 17/30 | G06F 21/00 | G06K  9/00 | G06Q 10/02 | G06Q 20/14 | G06Q 30/00 | G06Q 30/02 | G06Q 30/06 | G06Q 50/30 | G07C  5/00 | G07C  5/08 | G08B 21/02 | H04L 29/06 | H04N 21/214 | H04N 21/218 | H04N 21/475 | B60R 25/00 | G06Q 10/00 | G07C  5/02 | B60W 50/10 | B60R 25/01 | B60K 35/00 | G08G  1/01 | H04W 84/00 | G08G  1/0967 | H04N  7/18 | H04W 12/06 | H04W 12/08 | G08B 21/06 | G08B 29/18 | G06F  3/0488 | B60Q  1/52 | B60W 40/08","G06F","B60Q   9/00 | A61B   5/0077 | A61B   5/4809 | A61B   5/6808 | A61B   5/7405 | A61B   5/742 | A61B   7/04 | A61B2503/04 | B60C   1/00 | B60H   1/00742 | B60K  35/00 | B60K2350/1004 | B60K2350/1052 | B60K2350/1056 | B60K2350/352 | B60K2350/965 | B60N   2/0244 | B60Q   1/00 | B60Q   1/52 | B60R  11/04 | B60R  16/037 | B60R  16/0373 | B60R  25/00 | B60R  25/01 | B60R  25/1004 | B60R  25/102 | B60R  25/20 | B60R  25/2081 | B60R  25/25 | B60R  25/257 | B60W  40/08 | B60W  40/09 | B60W  50/08 | B60W  50/085 | B60W  50/10 | B60W2040/0809 | B60W2040/0881 | B60W2050/146 | B60W2540/00 | B60W2540/12 | B60W2540/18 | B60W2540/30 | G01C  21/00 | G01C  21/206 | G01C  21/26 | G01C  21/28 | G01C  21/34 | G01C  21/3415 | G01C  21/3446 | G01C  21/3476 | G01C  21/3484 | G01C  21/36 | G01C  21/3617 | G01C  21/362 | G01C  21/3629 | G01C  21/3641 | G01C  21/3647 | G01C  21/365 | G01C  21/3667 | G01C  21/3691 | G01C  21/3697 | G01S  19/42 | G02B  27/0093 | G05D   1/0016 | G05D   1/0022 | G05D   1/0027 | G05D   1/021 | G05D   1/0212 | G05D   1/0276 | G05D  23/1917 | G06F   3/013 | G06F   3/016 | G06F   3/017 | G06F   3/0481 | G06F   3/0482 | G06F   3/04842 | G06F   3/0488 | G06F   3/04886 | G06F   3/0622 | G06F   3/0637 | G06F   3/0673 | G06F   3/167 | G06F   8/65 | G06F   9/451 | G06F  17/28 | G06F  17/30203 | G06F  17/30247 | G06F  17/30528 | G06F  17/30557 | G06F  17/3056 | G06F  17/30864 | G06F  21/00 | G06F  21/31 | G06F  21/32 | G06F2203/04803 | G06K   9/00221 | G06K   9/00255 | G06K   9/00268 | G06K   9/00288 | G06K   9/00335 | G06K   9/00355 | G06K   9/00832 | G06K   9/00838 | G06K2009/00939 | G06Q  10/00 | G06Q  10/02 | G06Q  10/20 | G06Q  20/145 | G06Q  30/00 | G06Q  30/012 | G06Q  30/0265 | G06Q  30/0266 | G06Q  30/0633 | G06Q  30/0639 | G06Q  30/0641 | G06Q  30/0645 | G06Q  50/30 | G07C   5/00 | G07C   5/006 | G07C   5/008 | G07C   5/02 | G07C   5/0808 | G07C   5/085 | G07C   9/00126 | G07C   9/00158 | G08B  13/19647 | G08B  21/0205 | G08B  21/06 | G08B  21/18 | G08B  25/016 | G08B  29/188 | G08G   1/01 | G08G   1/07 | G08G   1/0965 | G08G   1/096725 | G08G   1/096741 | G08G   1/096775 | G08G   1/0968 | G08G   1/096805 | G08G   1/096811 | G08G   1/096844 | G08G   1/164 | G08G   1/166 | G08G   1/207 | G09G   5/37 | G09G2354/00 | G09G2380/10 | H04L  51/02 | H04L  63/0236 | H04L  63/0428 | H04L  63/08 | H04L  63/102 | H04L  67/10 | H04L  67/12 | H04L  67/26 | H04L  67/306 | H04L  67/34 | H04N   7/181 | H04N  21/214 | H04N  21/2181 | H04N  21/2225 | H04N  21/2265 | H04N  21/2393 | H04N  21/25816 | H04N  21/25841 | H04N  21/41422 | H04N  21/43615 | H04N  21/43637 | H04N  21/454 | H04N  21/4542 | H04N  21/4751 | H04N  21/6408 | H04N  21/64322 | H04W   4/021 | H04W   4/04 | H04W   4/046 | H04W   4/12 | H04W   4/21 | H04W   4/40 | H04W   4/60 | H04W   4/70 | H04W   4/80 | H04W  12/06 | H04W  12/08 | H04W  36/0005 | H04W  36/32 | H04W  36/34 | H04W  48/02 | H04W  48/04 | H04W  76/11 | H04W  76/19 | H04W  84/005 | H04W  84/18","B60Q","8","AUTOCONNECT HOLDINGS LLC","autoconnect holdings","Ricci; Christopher P.","Ricci","430","7","0","430","0","7","有效","1907","15",
"US10549969B2","US15/061908","Systems, devices and methods for monitoring modular compliance in a shopping space","20160304","20200204","20200204","G06Q 30/00 | B66F  9/06 | G06Q 30/06 | A47F 10/04 | H04W  4/80 | G06Q 10/06 | H04W  4/021 | H04W  4/029 | G05D  1/02 | B60L 53/36 | B60L 53/63 | E01H  5/06 | E01H  5/12 | G01S  1/70 | G01S  1/72 | G06Q 10/02 | G06Q 10/08 | G06Q 10/10 | G06Q 10/00 | G06Q 30/02 | G06Q 50/30 | H04N  5/77 | H04N  7/18 | B62B  5/00 | B60P  3/06 | G06Q 50/28 | G05D  1/00 | H04W  4/33 | G06T  7/73 | G06T  7/593 | H04N 13/282 | A47L 11/40 | G06K  9/00 | G06K  9/18 | G06K  9/32 | G06K  9/62 | G06K  9/78 | G08G  1/00 | G10L 13/04 | G10L 15/22 | G10L 17/22 | H02J  7/00 | H04B 10/116 | H04L 29/08 | H04W  4/30 | A47F 13/00 | B07C  5/28 | B07C  5/342 | B65F  3/00 | G05B 19/048 | G06F  3/01 | H04W  4/40 | G05D  1/04 | A47F  3/08 | G01C 21/20 | G06F 21/60 | H04L 29/06 | G06Q 20/12 | G06F 16/903 | A47F 10/02 | H04B  1/38 | A47F 10/00 | G05B 19/12 | G06K  7/10 | G06K  7/14","G06Q","B66F9/063 | A47F3/08 | A47F10/04 | A47F13/00 | A47L11/4011 | B07C5/28 | B07C5/3422 | B60L53/36 | B60L53/63 | B60P3/06 | B62B5/0026 | B62B5/0069 | B62B5/0076 | B65F3/00 | E01H5/061 | E01H5/12 | G01C21/206 | G01S1/70 | G01S1/72 | G05B19/048 | G05D1/0011 | G05D1/0016 | G05D1/0022 | G05D1/0027 | G05D1/0061 | G05D1/0088 | G05D1/021 | G05D1/028 | G05D1/0214 | G05D1/0219 | G05D1/0234 | G05D1/0246 | G05D1/0255 | G05D1/0276 | G05D1/0289 | G05D1/0291 | G05D1/0293 | G05D1/0297 | G05D1/04 | G06F3/017 | G06K9/00208 | G06K9/00671 | G06K9/00711 | G06K9/00771 | G06K9/00791 | G06K9/00805 | G06K9/18 | G06K9/3208 | G06K9/6256 | G06K9/78 | G06Q10/02 | G06Q10/0631 | G06Q10/06311 | G06Q10/083 | G06Q10/087 | G06Q10/1095 | G06Q10/30 | G06Q30/016 | G06Q30/0281 | G06Q30/0601 | G06Q30/0605 | G06Q30/0613 | G06Q30/0617 | G06Q30/0619 | G06Q30/0631 | G06Q30/0633 | G06Q30/0635 | G06Q30/0639 | G06Q30/0641 | G06Q50/28 | G06Q50/30 | G06T7/593 | G06T7/74 | G08G1/20 | G10L13/043 | G10L15/22 | G10L17/22 | H02J7/0027 | H04B10/116 | H04L67/12 | H04L67/141 | H04L67/143 | H04N5/77 | H04N7/18 | H04N7/183 | H04N7/185 | H04N13/282 | H04W4/02 | H04W4/021 | H04W4/029 | H04W4/30 | H04W4/33 | H04W4/40 | H04W4/80 | A47F2010/005 | A47F2010/025 | A47L2201/04 | B07C2501/0045 | B07C2501/0054 | B07C2501/0063 | B60Y2410/10 | B65F2210/168 | G05B19/124 | G05B2219/23363 | G05B2219/39107 | G05D2201/0203 | G05D2201/0216 | G06F16/90335 | G06F21/606 | G06K7/10297 | G06K7/10821 | G06K7/1413 | G06K9/00624 | G06K2009/00738 | G06Q10/06315 | G06Q20/12 | G06T2207/10028 | G10L2015/223 | H02J2007/0096 | H04B1/38 | H04L63/06 | H04L63/08 | H04L63/0846 | Y02W30/82 | Y02W30/827 | Y02W90/20 | Y04S10/54 | Y10S901/01","B66F9","19","Walmart Apollo, LLC","wal mart apollo","High; Donald R. | Atchley; Michael D. | Winkle; David C.","High","781","0","22","759","0","0","有效","180","17",
"CN110998619A","CN201880049669.6","用于增销自主载具上的产品的系统与机构","20180726","20200410",,"G06Q 10/08","G06Q","A23L5/00 | B60P3/007 | B64C2201/128 | B64C2201/141 | B64C2201/00 | G05D1/0027 | G05D1/0295 | G05D1/0297 | G05D2201/0213 | G06Q10/00 | G06Q10/0631 | G06Q10/06315 | G06Q10/0635 | G06Q10/08 | G06Q10/083 | G06Q10/0832 | G06Q10/0833 | G06Q10/0834 | G06Q10/0835 | G06Q10/08355 | G06Q10/0837 | G06Q20/00 | G06Q30/0266 | G06Q30/0631 | G06Q30/0645 | G06Q50/12 | G06Q50/28 | G06Q50/30 | G07C9/00563 | G07C9/00571 | G07C9/00896 | G07C9/28 | G07C2009/0092 | G07C2209/63 | G08G1/04 | G08G1/202 | G06F3/017 | A23L2/52 | A23L7/109 | A23V2002/00 | A47J37/0658 | A47J47/00 | B60H1/00364 | B60H1/00735 | B60P1/36 | B60P3/0257 | B60R19/18 | B60R19/483 | B60R21/34 | B60R21/36 | B60R25/25 | B60R25/252 | B60R2021/346 | B65G67/24 | G01C21/20 | G01C21/343 | G01C21/3438 | G01C21/3453 | G05D1/0033 | G05D1/0038 | G05D1/0061 | G05D1/0088 | G05D1/0094 | G05D1/0212 | G05D1/0214 | G05D1/0223 | G05D1/0231 | G05D1/0276 | G05D1/0291 | G05D1/12 | G05D2201/0207 | G06F3/0484 | G06F16/955 | G06K7/10297 | G06K7/10722 | G06K7/1413 | G06K9/00201 | G06K9/00791 | G06K19/06028 | G06K19/0723 | G06N20/00 | G06Q20/127 | G06Q20/18 | G07F17/0057 | G07F17/12 | G08G1/22 | H04L67/12 | H04N5/76 | H04W4/024 | H04W4/40 | H05B6/688","A23L5","21","纽诺有限公司","纽诺有限公司","大卫·弗格森 | 朱佳俊 | 皮克·吉拉皮诺 | 娜恩·弗朗西霍夫","大卫·弗格森","0","0","0","0","0","0","公开","78","28",
"US10602676B2","US15/934436","Systems and methods for providing an industrial cart for a grow pod","20180323","20200331","20200331","A01G  9/14 | B61L 23/34 | G05D  1/00 | B60L  5/04 | B61L 15/00 | G05B 19/418 | B61B 13/02 | G05B 19/042 | B61B 13/00 | A01G 31/04","A01G","A01G9/143 | B60L5/04 | B61B13/02 | B61L15/0027 | B61L23/34 | G05B19/042 | G05B19/4189 | G05D1/0027 | A01G31/042 | B60L2200/44 | B61B13/00 | B61L2201/00 | B61L2210/02 | G05B2219/2641 | G05D2201/0216","A01G9","20","GROW SOLUTIONS TECH LLC","grow solutions tech","Millar; Gary Bret | Stott; Mark Gerald | Tueller; Todd Garrett | Hurst; Michael Stephen | Bentley; Alan Ray | Woodbury; Taylor John | York; Shane","Millar","14","0","0","14","0","0","有效","492","14",
"CN104656640A","CN201510090532.3","用于遥控物料搬运车辆的装置","20091230","20150527",,"G05D  1/00","G05D","B66F9/061 | B66F9/07568 | B66F9/07581 | G05D1/0011 | G05D1/0033 | G05D1/02 | G05D1/0016 | G05D1/0027 | G05D1/0055 | G05D1/0223 | G05D1/0238 | G05D1/024 | G05D2201/0216","B66F9","6","克朗设备公司","克朗设备公司","S·R·普尔斯坎普 | J·D·杜伊斯 | M·M·格林 | E·P·霍尔瓦斯 | J·F·施罗梅尔 | V·W·谢夫林 | R·M·斯诺德格拉斯 | J·维尔辛","S·R·普尔斯坎普","9","0","1","8","0","0","驳回","241","21",
"US10216196B2","US15/296155","Methods to operate autonomous vehicles to pilot vehicles in groups or convoys","20161018","20190226","20190226","E04H  6/42 | G05D  1/00 | G05D  1/02 | B60W 30/06 | G08G  1/16","E04H","G05D1/0295 | B60W30/06 | G05D1/0022 | G05D1/0027 | G05D1/0293 | G05D1/0297 | E04H6/422 | G05D2201/0213 | G08G1/168","G05D1","20","Prosper Technology, LLC","prosper technology","Harvey; Thomas Danaher","Harvey","15","1","0","15","0","1","有效","34","10",
"US9711851B1","US15/092576","Unmanned vehicle, system and method for transmitting signals","20160406","20170718","20170718","H01Q 21/00 | H01Q  3/26","H01Q","G05D   1/0214 | B64C  39/024 | B64C2201/021 | B64C2201/024 | B64C2201/141 | B64C2201/143 | B64C2201/146 | G01B   9/021 | G01B  11/00 | G01C  21/165 | G01N  21/8851 | G01N  27/20 | G01N2201/12 | G01S   7/006 | G01S  13/02 | G01S  13/06 | G01S  13/42 | G01S  15/02 | G01S  19/13 | G01S2013/0254 | G05B  11/42 | G05B  13/024 | G05B  13/042 | G05D   1/0022 | G05D   1/0027 | G05D   1/0088 | G05D   1/0094 | G05D   1/02 | G05D   1/0202 | G05D   1/0204 | G05D   1/0206 | G05D   1/021 | G05D   1/0246 | G05D   1/0278 | G05D   1/104 | G05D2201/0207 | G06K   9/00637 | G06K   9/00677 | G08G   5/0039 | G08G   5/045 | G08G   9/02 | H01Q   3/26 | H01Q   3/2617 | H01Q   3/28 | H01Q   3/36 | H04B   7/0617 | H04B   7/18506 | H04N   5/225 | H04N   7/183 | H04N2005/2255","G05D","19","PROXY TECHNOLOGIES, INC.","proxy technologies","Cesarano; Patrick C.","Cesarano","5","0","0","5","0","0","有效","24","11",
"US9483055B2","US13/729894","Autonomous coverage robot","20121228","20161101","20161101","G06F 17/00 | A47L  9/00 | G05D  1/02 | G05D  1/00","G06F","G05D   1/024 | A47L2201/04 | G05D   1/0027 | G05D   1/0227 | G05D   1/0242 | G05D2201/0203 | Y10S 901/01","G05D","25","iRobot Corporation","irobot","Johnson; Joseph M | Morse; Christopher | Williams; Marcus R","Johnson","131","3","35","96","1","2","有效","25","35",
"KR20200019840A","KR1020197005998A","Systems and methods for removing fluid from trays in assembly line growth pods","20180521","20200225",,"","","A01G31/02 | A01G9/143 | B25J15/0019 | B25J9/1602 | B25J9/1679 | G05D1/0027 | G06Q50/02","A01G31","20","그로우 솔루션즈 테크, 엘엘씨","그로우 솔루션즈 테크, 엘엘씨","개리 브렛 밀라","개리 브렛 밀라","0","0","0","0","0","0","其他","492","17",
"EP3376249","EP20170161659","Enhanced object position detection","20170317","20180919",,"G01S  5/02 | G01S  5/00","G01S","G01S5/0289 | G01S5/0072","G01S5","10","Veoneer Sweden AB","veoneer sweden ab","Olof Eriksson | Tobias Aderum | Meifang ZHU | Chafik DRIOUICHI","Olof Eriksson","0","0","0","0","0","0","其他","21","17",
